Episode;SurvivalTime;TotalReward 
1;15.8;16.28
2;17.8;25.68
3;16.0;16.34
4;16.2;17.08
5;12.9;16.82
6;17.2;16.42
7;18.3;16.48
8;15.0;16.98
9;15.5;16.30
10;14.1;16.22
11;16.2;16.34
12;14.1;16.18
13;14.8;16.26
14;16.1;16.36
15;16.2;16.30
16;25.9;17.02
17;17.7;17.12
18;15.3;16.96
19;15.2;16.48
20;19.1;25.72
21;14.7;16.26
22;18.7;17.22
23;14.4;16.92
24;15.7;17.04
25;13.6;17.56
26;14.0;16.20
27;19.2;26.48
28;20.9;16.66
29;15.3;17.00
30;15.8;16.34
31;18.0;16.48
32;24.1;16.88
33;20.4;16.64
34;15.1;17.68
35;14.8;16.26
36;16.0;16.34
37;18.7;17.26
38;14.8;16.26
39;18.9;25.74
40;30.0;18.02
41;18.9;16.54
42;30.1;18.70
43;17.2;16.46
44;19.9;25.82
45;18.5;16.20
46;24.3;16.88
47;16.6;16.40
48;23.5;17.56
49;16.2;16.34
50;14.9;16.26
51;25.8;17.70
52;30.1;19.40
53;15.9;17.06
54;27.0;24.72
55;17.0;16.40
56;25.1;26.20
57;20.7;17.34
58;20.9;16.66
59;14.6;16.96
60;18.8;16.52
61;16.8;16.40
62;14.8;17.66
63;22.7;17.50
64;18.2;26.42
65;19.4;16.58
66;14.3;16.24
67;21.4;16.74
68;19.5;25.78
69;16.1;17.04
70;20.5;16.60
71;18.0;17.18
72;30.1;18.02
73;17.8;16.48
74;19.7;16.60
75;20.7;16.66
76;16.0;17.04
77;18.7;16.54
78;16.2;16.34
79;13.8;17.60
80;19.3;16.58
81;17.2;17.80
82;18.6;16.54
83;17.9;16.50
84;22.9;16.78
85;15.4;16.30
86;15.7;16.32
87;15.3;16.28
88;15.5;16.30
89;14.1;16.94
90;16.3;16.36
91;30.1;18.28
92;30.1;19.42
93;24.3;16.92
94;19.8;25.82
95;22.8;16.78
96;20.1;16.60
97;20.3;17.34
98;17.3;16.40
99;16.1;20.96
100;13.6;16.22
101;20.1;16.64
102;17.8;17.20
103;22.8;17.52
104;18.1;17.20
105;30.1;27.92
106;22.1;22.98
107;18.9;17.22
108;30.1;18.02
109;21.3;25.94
110;19.3;16.58
111;18.4;17.20
112;13.7;16.18
113;30.1;18.68
114;22.5;26.02
115;17.9;16.20
116;21.5;25.84
117;18.3;16.50
118;15.6;17.02
119;21.6;17.44
120;17.4;17.84
121;18.5;16.52
122;25.3;17.48
123;13.8;16.18
124;27.5;17.16
125;23.1;16.86
126;19.2;25.76
127;19.8;17.28
128;20.1;16.60
129;17.4;16.44
130;17.5;16.46
131;30.0;18.72
132;15.0;16.98
133;24.3;18.32
134;15.1;16.98
135;17.5;25.68
136;15.7;17.02
137;30.0;20.10
138;17.6;17.16
139;18.4;17.22
140;19.2;16.60
141;22.7;16.80
142;20.7;17.36
143;21.2;17.42
144;15.5;16.32
145;20.6;16.66
146;23.2;17.54
147;24.1;16.90
148;17.9;17.16
149;22.3;16.72
150;18.2;16.48
151;19.3;25.76
152;18.3;16.50
153;18.5;17.22
154;30.1;27.20
155;15.9;17.76
156;20.8;17.36
157;16.2;17.06
158;21.2;16.70
159;14.3;26.14
160;21.2;16.72
161;15.8;17.02
162;18.5;16.50
163;21.0;17.36
164;22.3;16.76
165;20.0;17.32
166;22.3;16.74
167;18.9;16.54
168;17.9;16.44
169;16.4;17.06
170;16.8;16.38
171;28.4;17.14
172;13.6;16.88
173;18.0;17.20
174;20.0;16.62
175;18.8;16.52
176;22.9;26.02
177;29.4;20.46
178;29.5;26.46
179;17.6;16.46
180;22.2;16.80
181;23.5;18.28
182;22.0;17.48
183;27.0;17.10
184;22.6;17.90
185;23.8;16.82
186;21.5;17.42
187;23.0;17.50
188;20.9;16.68
189;22.6;16.78
190;20.8;18.06
191;21.9;18.14
192;16.1;16.36
193;19.0;25.76
194;22.9;16.80
195;18.2;17.22
196;19.7;17.30
