Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
130;19.5;-3.10;1;4;100;7;3;0;1
131;23.7;0.06;1;4;100;6;4;0;0
132;49.6;16.24;1;6;130;12;9;2;2
133;10.7;-12.58;1;4;100;3;0;0;0
134;25.0;-3.17;1;5;125;6;3;1;0
135;28.4;3.21;1;5;125;8;5;1;1
136;12.9;-6.40;1;4;100;3;2;0;0
137;50.5;22.78;1;4;100;15;11;2;3
138;13.5;-6.38;1;4;100;3;2;1;0
139;26.8;6.34;1;4;100;9;6;0;1
140;15.1;-3.18;1;4;100;5;3;0;1
141;15.8;-3.38;1;4;100;6;3;1;0
142;16.5;-3.28;1;4;100;5;3;1;0
143;16.2;-3.30;1;4;100;6;3;0;0
144;14.2;-3.40;1;4;100;5;3;0;0
145;32.0;6.62;1;4;100;7;6;2;1
146;43.7;19.09;1;5;125;12;10;1;2
147;23.2;0.22;1;4;100;7;4;0;1
148;28.1;0.26;1;4;100;6;4;0;0
149;26.1;0.14;1;4;100;6;4;0;0
150;36.3;9.55;1;7;175;9;7;3;1
151;15.0;-9.36;1;4;100;5;1;0;0
152;23.5;-3.00;1;4;100;6;3;0;0
153;18.9;-3.20;1;4;100;6;3;0;0
154;20.3;-3.18;1;4;100;6;3;0;0
155;42.9;0.20;1;7;160;6;4;3;0
156;21.6;-3.10;1;4;100;6;3;0;0
157;43.6;12.90;1;6;130;10;8;2;2
158;20.3;0.04;1;4;100;7;4;0;1
159;30.6;0.11;1;5;125;6;4;1;0
160;43.5;9.70;1;6;130;9;7;2;1
161;30.6;5.96;1;6;130;8;6;1;1
162;19.2;-3.18;1;4;100;6;3;0;0
163;19.6;-3.16;1;4;100;6;3;0;0
164;22.1;-2.88;1;4;100;7;3;0;1
165;19.8;-0.20;1;4;100;6;4;0;0
166;22.9;3.10;1;4;100;8;5;0;1
167;19.1;-0.22;1;4;100;6;4;0;0
168;26.2;-0.40;1;4;100;6;4;0;0
169;14.0;-6.48;1;4;100;5;2;0;0
170;41.9;15.93;1;5;125;12;9;2;2
171;41.0;9.60;1;6;150;8;7;4;1
172;20.6;-0.16;1;4;100;6;4;0;0
173;19.1;-3.24;1;4;100;6;3;0;1
174;26.3;0.16;1;4;100;6;4;0;0
175;19.8;-3.22;1;4;100;6;3;0;0
176;22.8;-3.04;1;4;100;6;3;1;0
177;10.0;-12.60;1;4;100;3;0;0;0
178;14.9;-6.40;1;4;100;5;2;0;0
179;31.0;3.38;1;4;100;6;5;1;0
180;24.6;3.14;1;4;100;8;5;1;1
181;18.7;-0.22;1;4;100;6;4;0;0
182;35.9;9.72;1;4;100;9;7;0;1
183;28.4;6.44;1;4;100;8;6;0;1
184;28.3;0.84;1;7;160;6;4;2;0
185;38.1;16.14;1;4;100;12;9;0;3
186;36.3;6.47;1;5;125;9;6;1;1
187;30.3;3.52;1;4;100;9;5;0;1
188;20.8;-0.14;1;4;100;6;4;0;0
189;15.2;-6.18;1;4;100;6;2;0;1
190;17.2;-3.32;1;4;100;6;3;0;0
191;16.6;-0.28;1;4;100;6;4;0;0
192;24.1;0.06;1;4;100;6;4;0;0
193;28.3;3.15;1;5;125;9;5;1;1
194;25.7;3.75;1;6;130;9;5;1;2
195;27.2;-5.84;1;5;125;6;2;1;0
