Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
103;50.7;5.35;1;4;100;11;11;0;3;36.0;3
104;45.0;2.95;1;4;100;9;9;1;1;19.6;3
105;78.4;14.55;1;7;155;19;19;2;4;19.7;3
106;64.1;9.24;1;6;130;15;14;2;3;28.6;3
107;31.3;-1.15;1;4;100;6;6;1;2;20.6;3
108;43.7;1.84;1;5;125;8;8;2;0;29.4;4
109;71.2;12.12;1;8;190;16;15;4;6;18.9;4
110;48.3;3.85;1;4;100;11;10;0;3;33.2;3
111;43.1;2.54;1;5;125;10;9;1;1;8.5;2
112;36.7;-0.05;1;4;100;7;7;2;0;32.5;3
113;55.2;5.54;1;6;130;11;10;2;2;25.8;2
114;35.6;-0.15;1;4;100;8;7;1;0;10.4;3
115;52.6;6.84;1;5;125;12;12;1;6;11.9;3
116;47.9;4.41;1;9;215;9;9;5;1;17.6;3
117;48.8;3.14;1;5;125;8;8;1;4;31.0;3
118;47.5;4.24;1;6;130;11;10;2;1;26.5;4
119;40.3;2.85;1;4;100;10;10;1;2;20.9;3
120;47.0;3.69;1;11;265;8;8;6;0;13.7;7
121;69.3;11.31;1;8;185;15;14;3;3;19.9;4
122;39.7;1.25;1;4;100;8;8;1;0;26.6;3
123;47.5;4.62;1;7;155;11;10;3;1;31.1;3
124;63.6;11.71;1;7;175;17;17;4;4;26.6;4
125;59.3;8.64;1;5;125;14;14;5;2;40.4;3
126;36.5;0.15;1;4;100;6;6;3;2;31.0;4
127;67.6;10.71;1;8;185;14;14;4;3;22.1;2
128;45.9;3.44;1;6;130;9;9;1;5;26.0;3
129;39.5;0.04;1;5;125;8;6;2;1;16.3;6
130;69.0;9.11;1;8;200;11;11;9;1;20.9;6
131;40.7;2.03;1;7;160;8;8;3;0;25.4;3
132;28.0;-1.85;1;4;100;6;5;1;2;21.2;3
133;41.5;0.95;1;4;100;7;7;1;0;20.6;5
134;66.3;11.83;1;7;175;16;16;6;4;50.4;5
135;70.3;13.52;1;7;160;21;17;4;7;29.3;3
136;52.6;7.12;1;7;155;14;13;3;3;24.0;4
137;35.4;0.65;1;4;100;8;8;1;3;23.7;4
138;27.3;-2.25;1;4;100;6;5;1;3;21.0;3
139;30.9;-2.35;1;4;100;5;4;1;1;24.6;6
140;58.7;9.69;1;9;215;15;14;5;4;9.4;4
141;41.6;3.15;1;4;100;10;9;2;6;35.9;4
142;43.0;3.24;1;5;125;11;9;2;5;25.6;3
143;29.2;-3.25;1;4;100;3;3;3;2;25.6;4
144;36.9;1.74;1;6;130;10;9;2;2;13.0;3
145;49.9;7.91;1;8;190;15;14;3;3;17.1;4
146;53.6;6.94;1;5;125;14;13;1;2;15.5;3
147;51.3;6.15;1;4;100;12;12;1;3;43.9;5
