Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
97;37.9;0.15;1;5;100;8;7;1;0;26.5;3;2
98;60.9;5.74;1;7;130;11;9;2;1;18.7;4;3
99;46.3;2.45;1;5;100;10;8;1;1;35.0;3;2
100;51.6;2.45;1;5;100;8;7;0;0;20.0;4;4
101;82.1;14.24;1;7;130;19;17;1;4;39.0;4;6
102;52.1;6.05;1;5;100;12;12;1;4;29.2;4;2
103;67.5;5.42;1;8;160;8;6;3;0;30.8;5;7
104;40.8;2.35;1;5;100;11;10;0;1;14.9;5;3
105;51.3;1.55;1;5;100;8;5;0;0;22.8;5;6
106;39.4;1.65;1;5;100;11;9;0;1;18.8;3;3
107;43.1;2.95;1;5;100;11;10;1;2;21.0;6;3
108;64.6;7.62;1;8;160;11;11;2;1;19.6;4;5
109;51.7;4.25;1;5;100;11;10;0;1;26.7;4;3
110;45.4;3.55;1;5;100;12;10;0;3;32.4;5;4
111;47.1;4.05;1;5;100;14;12;0;4;25.9;6;4
112;69.0;8.93;1;7;140;14;12;3;3;26.6;5;4
113;47.0;4.05;1;5;100;11;11;0;3;28.9;3;2
114;28.1;-2.65;1;5;100;7;5;1;0;16.4;5;3
115;59.3;7.55;1;5;100;14;13;4;2;43.9;5;5
116;67.4;11.23;1;8;160;17;16;3;3;16.8;3;3
117;55.7;5.24;1;7;130;11;10;2;2;24.5;5;7
118;120.0;33.83;0;7;140;26;21;2;7;33.0;6;14
119;45.2;3.15;1;5;100;11;10;0;3;18.0;4;2
120;32.5;0.04;1;7;130;8;8;1;1;17.9;6;2
121;41.4;0.35;1;5;100;7;6;1;1;33.0;6;2
122;57.6;6.15;1;5;100;11;11;3;3;45.9;2;4
123;30.5;-0.85;1;5;100;8;7;0;2;18.1;5;2
124;44.0;1.15;1;5;100;8;7;0;0;21.4;4;4
125;45.3;3.95;1;5;100;13;11;0;2;15.2;4;3
126;51.2;3.65;1;5;100;11;9;0;1;36.8;6;2
127;42.9;1.55;1;5;100;8;8;0;1;16.9;3;3
128;65.6;5.33;1;7;140;8;7;2;2;24.8;6;3
129;41.5;1.25;1;5;100;8;8;1;0;14.5;6;5
130;45.3;3.04;1;7;130;11;9;2;1;23.5;3;3
131;54.7;5.64;1;7;130;11;11;1;1;26.5;4;3
132;55.0;5.35;1;5;100;11;11;0;1;38.7;3;3
133;49.3;4.65;1;5;100;13;11;2;2;38.6;6;3
134;51.8;4.65;1;5;100;10;10;1;3;33.8;6;4
135;62.8;8.34;1;7;130;13;13;2;3;36.3;3;3
136;41.1;3.24;1;7;130;11;11;2;1;15.7;6;3
137;51.8;3.35;1;5;100;10;8;0;3;37.5;5;1
138;76.8;9.35;1;5;100;14;11;0;2;26.9;6;8
139;38.8;0.55;1;5;100;7;7;1;1;29.3;4;2
140;39.0;1.55;1;5;100;11;9;0;1;18.1;4;2
141;52.0;6.15;1;5;100;14;13;1;2;15.5;4;4
142;61.5;7.65;1;5;100;14;14;0;2;33.0;5;5
143;70.8;5.05;1;5;100;8;6;0;0;38.2;7;5
144;60.2;9.34;1;7;130;17;15;1;3;18.1;5;4
145;102.9;20.73;1;8;150;22;21;3;5;35.8;4;3
146;48.2;4.42;1;8;160;11;10;2;2;28.0;4;3
147;120.1;32.56;0;4;80;20;20;2;5;62.3;7;11
148;50.7;2.75;1;5;100;8;8;2;1;33.3;5;3
149;40.0;1.35;1;5;100;10;8;0;2;27.4;4;3
150;30.2;-1.35;1;5;100;7;6;0;1;18.9;4;3
151;58.5;8.23;1;8;160;13;13;3;3;17.2;5;6
152;30.0;-1.25;1;5;100;7;7;1;1;17.8;5;1
153;29.3;-1.35;1;5;100;8;7;1;0;15.8;5;2
154;33.6;-0.45;1;5;100;8;8;0;1;22.1;4;3
155;59.8;10.15;1;5;100;19;17;0;5;20.9;4;5
156;19.7;-5.15;1;5;100;5;3;1;0;13.9;4;1
157;60.6;8.44;1;6;120;14;14;3;2;17.7;4;2
158;67.1;6.94;1;6;120;9;9;4;2;29.5;5;5
159;23.4;-3.05;1;5;100;7;5;1;1;13.9;5;2
160;39.7;0.95;1;5;100;8;8;1;0;29.7;4;4
161;36.0;-0.25;1;5;100;8;7;0;1;13.5;5;3
162;42.0;3.25;1;5;100;11;11;1;2;27.5;3;3
163;102.1;11.72;1;8;160;8;7;2;1;18.0;7;15
164;55.2;5.64;1;7;130;11;11;2;2;15.0;4;5
165;90.7;10.61;1;10;190;8;8;3;1;12.8;6;9
166;72.4;11.55;1;5;100;16;16;2;3;45.1;3;3
167;40.5;0.65;1;5;100;8;7;1;1;28.7;4;2
168;59.9;6.64;1;6;120;11;11;2;2;16.4;5;5
169;86.6;17.12;1;8;160;21;20;2;6;28.9;4;5
170;39.3;0.95;1;5;100;8;8;0;1;31.0;4;2
171;50.1;6.35;1;5;100;15;14;0;4;31.1;5;3
172;87.9;8.04;1;7;130;10;8;3;2;44.6;6;7
173;120.2;28.83;0;7;140;14;13;3;3;17.0;7;12
174;106.7;11.84;1;7;130;8;6;1;1;18.1;7;5
175;27.5;-1.35;1;5;100;7;7;0;2;16.8;4;1
176;37.6;2.45;1;5;100;11;11;0;2;16.0;4;1
177;60.6;6.75;1;5;100;12;11;0;3;20.8;5;3
178;66.8;8.25;1;5;100;14;12;1;2;33.1;5;7
179;37.6;0.84;1;7;130;8;8;1;1;16.5;3;5
180;31.3;-0.25;1;5;100;9;8;0;2;18.1;4;2
181;67.2;7.25;1;7;130;11;9;1;3;29.0;6;8
182;39.1;1.65;1;5;100;11;9;1;1;7.2;5;3
183;83.7;11.24;1;7;130;13;11;1;4;32.9;7;10
184;43.8;1.94;1;7;130;8;8;2;1;25.4;3;2
185;96.8;12.54;1;7;130;11;10;2;2;31.2;6;9
186;58.2;7.64;1;7;130;14;13;2;3;25.4;3;4
187;39.0;0.65;1;5;100;8;7;0;2;16.6;5;2
188;51.8;4.05;1;5;100;11;9;1;2;23.1;3;4
189;54.1;5.05;1;5;100;12;10;1;4;40.4;4;2
190;120.0;29.23;0;7;140;14;14;5;2;49.5;7;10
191;120.1;29.11;0;9;180;14;13;4;3;17.5;7;16
192;91.1;12.04;1;7;130;14;12;1;3;37.7;7;6
193;65.1;8.35;1;5;100;13;13;1;3;20.5;3;5
194;67.9;7.75;1;5;100;13;11;1;3;35.4;4;6
195;51.4;2.65;1;5;100;8;7;3;1;38.3;4;1
196;57.3;7.35;1;5;100;13;13;0;4;16.7;6;1
197;120.1;25.62;0;8;160;8;7;5;1;28.4;7;12
198;30.0;-2.05;1;5;100;6;5;0;3;19.2;5;1
199;68.2;6.94;1;7;130;11;9;2;1;31.3;6;1
200;67.1;9.04;1;7;130;14;13;1;2;23.6;5;3
201;51.7;4.85;1;6;120;11;11;1;1;24.2;5;3
202;40.8;2.25;1;5;100;11;9;1;3;27.9;3;2
203;58.1;4.54;1;6;120;8;8;1;1;17.1;3;4
204;54.8;7.24;1;6;120;17;13;1;4;16.8;4;3
205;113.3;15.75;1;5;100;14;11;1;2;27.8;7;11
206;113.7;17.45;1;5;100;14;14;2;2;16.5;7;9
207;27.5;-3.65;1;5;100;3;3;2;0;16.8;5;2
208;87.1;15.24;1;7;130;19;17;3;4;18.9;4;4
209;106.9;16.11;1;10;190;14;12;3;3;33.6;6;9
210;54.0;4.75;1;5;100;11;10;0;1;28.2;6;4
211;60.0;5.25;1;5;100;11;9;0;1;40.3;5;4
212;41.3;0.15;1;5;100;8;6;0;0;23.0;3;2
213;120.1;28.37;0;3;60;15;15;0;3;38.8;7;6
214;45.7;3.32;1;8;160;10;9;2;2;15.7;5;3
215;49.3;4.24;1;7;130;11;10;2;2;23.3;4;1
216;46.2;1.95;1;5;100;8;8;0;3;10.3;6;1
217;30.6;-2.65;1;5;100;4;4;1;2;16.0;5;1
218;30.3;0.05;1;5;100;10;9;1;2;19.2;5;1
219;50.6;5.75;1;5;100;13;12;1;3;41.4;3;1
220;55.5;5.34;1;7;130;11;10;2;2;24.7;4;3
221;30.9;-1.55;1;5;100;6;6;2;0;21.5;5;1
222;47.3;2.35;1;5;100;8;8;1;1;27.5;4;2
223;29.3;-0.96;1;6;120;8;7;1;1;16.6;4;1
224;78.3;10.32;1;8;160;11;11;2;2;16.2;4;6
225;63.6;5.35;1;5;100;8;8;4;0;40.5;6;1
226;57.1;3.05;1;5;100;8;6;1;1;26.8;7;2
227;66.1;8.93;1;7;140;14;12;3;2;16.2;4;1
228;62.1;8.55;1;5;100;14;14;1;3;23.0;3;2
229;78.3;7.15;1;5;100;8;7;0;1;31.3;7;7
230;27.8;-3.05;1;5;100;6;4;0;0;19.8;4;1
231;120.1;26.35;0;5;100;11;10;1;1;26.3;7;15
232;65.6;5.35;1;5;100;8;8;0;0;28.8;4;2
233;32.8;-1.25;1;5;100;8;6;0;0;20.7;4;1
234;107.1;15.15;1;5;100;13;12;0;2;17.9;7;10
235;120.1;28.92;0;8;160;14;13;3;2;25.0;7;5
236;30.7;-0.65;1;5;100;8;8;0;0;20.2;3;0
237;95.3;10.12;1;8;160;8;7;2;0;21.7;7;6
238;51.0;3.15;1;5;100;11;8;0;1;31.9;5;2
239;88.7;9.34;1;6;120;8;7;1;0;22.4;6;9
240;37.8;0.95;1;5;100;11;8;1;1;21.0;4;2
241;54.9;5.75;1;5;100;13;11;1;3;22.3;4;2
242;103.3;14.04;1;6;120;11;11;2;2;21.7;7;7
243;120.0;25.14;0;6;120;8;7;2;1;20.6;7;12
244;32.8;-1.45;1;5;100;6;5;0;3;25.9;4;0
245;26.2;-1.45;1;5;100;8;8;1;0;13.0;5;1
246;30.0;-3.25;1;5;100;4;3;1;1;21.8;5;0
247;120.1;24.14;0;6;120;8;6;1;1;31.1;7;8
248;97.3;15.23;1;8;150;14;14;2;2;15.8;7;4
249;120.0;24.05;0;5;100;8;6;2;0;23.0;7;4
250;35.6;1.55;1;5;100;10;10;0;1;20.2;5;1
251;66.1;6.44;1;6;120;9;9;2;1;26.5;7;4
252;51.6;4.25;1;5;100;11;10;0;1;36.6;3;0
253;116.7;14.84;1;7;130;11;8;1;1;14.2;7;9
254;64.9;6.15;1;5;100;11;9;0;1;37.8;6;1
255;121.9;28.74;0;6;120;17;14;1;3;51.5;7;6
256;120.1;24.97;0;3;60;11;9;0;1;25.3;7;1
257;55.4;5.54;1;7;130;11;11;1;1;20.8;4;0
258;39.3;-0.15;1;5;100;8;6;0;0;23.1;5;1
259;120.1;26.45;0;5;100;11;10;2;1;17.9;7;6
260;52.3;4.25;1;5;100;12;9;0;2;36.4;3;1
261;70.2;10.44;1;7;130;17;14;1;3;28.8;3;1
262;48.2;3.25;1;5;100;11;9;0;1;36.6;4;0
263;57.9;7.15;1;5;100;13;13;0;2;23.5;4;1
264;59.1;3.05;1;5;100;8;7;0;0;20.9;5;3
265;62.3;7.74;1;6;120;14;12;1;3;9.0;3;2
266;58.2;8.15;1;5;100;14;14;2;3;29.5;3;1
267;95.4;15.74;1;6;120;16;16;3;3;33.0;7;3
268;84.8;8.94;1;7;130;8;8;2;2;29.4;4;8
269;27.2;-1.15;1;5;100;8;8;0;1;17.9;5;1
270;41.2;1.44;1;7;130;8;8;2;0;12.1;5;3
271;120.1;26.35;0;5;100;11;10;3;1;36.8;7;11
272;47.1;4.65;1;5;100;14;12;0;2;36.8;4;1
273;31.8;-2.15;1;5;100;6;5;0;0;23.6;5;1
274;57.3;7.24;1;7;130;14;13;1;2;17.0;3;1
275;58.9;5.65;1;5;100;11;10;0;1;31.3;4;4
276;89.4;10.54;1;7;130;11;9;1;2;29.9;7;8
