Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
101;21.8;-5.35;1;4;100;4;4;0;1;14.8;3
102;26.2;-4.95;1;4;100;4;4;0;0;19.8;4
103;33.8;-3.15;1;4;100;6;6;0;0;26.7;3
104;31.7;-3.55;1;4;100;6;6;0;0;22.5;2
105;36.4;-3.35;1;4;100;5;5;0;0;31.9;5
106;38.1;-2.55;1;4;100;6;6;0;1;20.6;2
107;23.2;-5.75;1;4;100;3;3;0;0;17.5;3
108;47.0;-1.08;1;7;160;6;6;2;1;16.8;4
109;26.3;-5.05;1;4;100;4;4;0;0;18.2;3
110;20.1;-6.25;1;4;100;3;3;0;0;16.4;2
111;29.5;-3.75;1;4;100;6;6;0;0;12.2;2
112;37.0;-2.15;1;4;100;7;6;0;2;19.7;2
113;43.9;-1.77;1;6;130;6;6;1;0;17.5;3
114;43.8;-1.85;1;4;100;6;6;0;0;22.0;4
115;37.2;-4.25;1;4;100;5;3;0;0;23.7;5
116;37.7;-2.85;1;4;100;6;6;0;0;15.8;4
117;28.0;-4.85;1;4;100;4;4;0;0;22.5;3
118;29.5;-5.35;1;4;100;4;3;0;0;22.3;4
119;24.5;-5.35;1;4;100;4;4;0;0;16.3;3
120;45.7;-0.65;1;6;130;8;7;1;1;18.4;2
121;32.5;-3.25;1;4;100;6;6;0;0;26.1;3
122;25.2;-5.25;1;4;100;4;4;0;0;17.1;3
123;23.0;-6.05;1;4;100;3;3;0;0;17.9;2
124;33.4;-3.25;1;4;100;6;6;0;0;26.0;4
125;39.5;-2.25;1;4;100;6;6;0;3;35.0;4
126;23.2;-5.85;1;4;100;4;3;0;0;16.5;3
127;50.4;-0.56;1;6;130;7;6;1;1;20.0;5
128;38.7;-2.25;1;6;130;6;6;1;0;18.2;2
129;39.4;-2.95;1;4;100;6;5;0;0;13.7;2
130;41.3;-2.25;1;4;100;6;6;0;0;23.6;2
131;26.1;-4.55;1;4;100;5;5;0;0;16.7;2
132;40.4;-2.75;1;4;100;6;6;0;0;16.3;2
133;44.3;-1.85;1;4;100;6;6;0;0;26.0;4
