Episode;SurvivalTime;TotalReward 
1;24.9;20.16
2;23.6;17.12
3;24.8;17.70
4;27.4;20.38
5;23.3;20.08
6;23.9;16.70
7;22.2;16.82
8;26.2;17.10
9;22.5;16.84
10;25.3;17.04
11;30.1;27.28
12;30.1;19.28
13;29.8;17.34
14;21.4;17.44
15;28.6;27.22
16;26.0;17.12
17;25.9;17.10
18;28.1;18.44
19;21.2;16.74
20;24.2;16.96
21;30.1;29.40
22;30.1;19.46
23;23.2;17.60
24;21.7;17.48
25;23.9;16.94
26;26.5;17.14
27;30.0;29.40
28;27.6;17.16
29;28.2;17.22
30;23.5;17.62
31;28.6;17.98
32;23.8;17.42
33;27.5;17.16
34;30.0;20.18
35;29.5;18.02
36;30.1;19.50
37;28.3;26.44
38;26.6;21.06
39;30.1;20.00
40;30.0;26.44
41;30.1;25.72
42;20.2;17.34
43;27.7;17.92
44;30.1;38.54
45;30.0;38.54
46;26.2;16.90
47;24.8;17.70
48;26.8;17.14
49;21.5;16.78
50;30.0;20.14
51;26.3;17.12
52;23.8;16.94
53;30.1;17.38
54;30.1;18.08
55;24.0;16.98
56;19.2;16.60
57;27.2;17.16
58;23.4;16.86
59;20.5;17.44
60;30.1;18.06
61;30.1;27.28
62;30.1;27.98
63;30.0;28.00
64;30.1;28.66
65;30.1;17.84
66;30.0;19.98
67;30.2;20.18
68;30.1;28.66
69;26.1;17.12
70;21.2;17.42
71;22.1;16.86
72;26.9;17.46
73;29.0;17.28
74;26.5;17.84
75;30.1;28.74
76;30.0;31.88
77;30.1;19.48
78;29.7;26.54
79;28.7;27.82
80;27.3;19.04
81;30.0;17.36
82;30.0;20.20
83;27.4;17.88
84;29.1;25.62
85;29.6;17.16
86;27.5;26.40
87;30.1;27.30
88;29.2;20.54
89;27.2;17.22
90;27.6;16.32
91;27.4;26.40
92;30.0;29.42
93;30.1;28.00
94;30.0;27.98
95;30.1;28.72
96;30.1;38.60
97;30.1;18.10
98;30.1;29.40
99;30.1;20.02
100;30.1;27.76
101;30.0;27.76
102;30.1;29.46
103;27.0;17.14
104;30.1;27.98
105;30.0;18.08
106;30.1;19.48
107;30.0;17.82
108;30.2;20.18
109;20.8;16.72
110;30.0;18.76
111;30.1;28.72
112;30.1;26.36
113;30.0;20.20
114;30.1;27.26
115;30.1;17.38
116;30.1;20.22
117;30.1;28.76
118;30.1;27.28
119;19.6;16.64
120;30.2;25.02
121;30.1;24.32
122;30.1;29.42
123;30.0;27.98
124;30.5;28.54
125;29.2;26.46
126;30.1;32.58
127;30.0;38.62
128;26.6;27.04
129;30.1;28.02
130;30.0;37.92
131;30.0;19.98
132;30.0;19.50
133;30.1;19.48
134;30.1;18.06
135;29.0;17.32
136;22.8;16.86
137;30.1;19.50
138;29.8;17.36
139;30.1;26.42
140;30.1;17.86
141;26.7;16.22
142;22.2;16.82
143;30.0;19.50
144;30.1;20.20
145;25.4;17.06
146;30.0;18.78
147;28.1;26.44
148;27.9;17.94
149;30.2;18.02
150;26.6;17.10
151;26.5;17.08
152;27.8;17.22
153;24.9;17.72
154;25.2;17.06
155;24.1;17.68
156;30.1;28.00
157;30.0;38.62
158;29.9;26.64
