Episode;SurvivalTime;TotalReward 
1;19.0;26.52
2;22.6;16.86
3;15.9;16.40
4;27.3;16.78
5;16.2;16.40
6;18.9;16.60
7;18.1;16.54
8;17.0;17.18
9;16.8;17.12
10;17.3;17.18
11;20.1;16.66
12;17.1;17.74
13;30.1;37.92
14;18.3;16.56
15;17.1;17.20
16;18.2;16.58
17;16.3;16.44
18;21.6;16.80
19;20.6;16.72
20;30.2;17.94
21;17.9;17.94
22;19.9;16.68
23;28.0;17.26
24;19.1;16.62
25;21.0;25.94
26;16.0;16.40
27;30.1;20.22
28;22.1;15.92
29;16.5;17.12
30;16.9;16.48
31;21.3;18.14
32;17.9;17.24
33;16.3;16.42
34;21.5;16.78
35;20.2;16.70
36;30.0;18.76
37;30.0;18.80
38;21.8;17.50
39;22.5;16.86
40;30.2;19.48
41;24.1;17.68
42;25.1;26.24
43;24.0;16.98
44;28.7;17.98
45;28.2;27.14
46;23.1;17.60
47;30.1;27.06
48;21.1;17.54
49;19.6;17.34
50;17.5;16.52
51;18.6;16.36
52;23.4;26.12
53;18.8;16.80
54;16.8;16.44
55;23.9;16.98
56;20.4;16.72
57;18.5;17.28
58;19.9;17.34
59;30.1;25.72
60;23.3;16.98
61;30.0;21.30
62;21.8;26.74
63;22.9;16.68
64;21.8;26.72
65;23.2;16.74
66;21.9;26.04
67;16.6;17.18
68;21.8;17.54
69;22.8;16.88
70;21.8;16.82
71;24.2;16.64
72;23.0;16.88
73;20.7;16.74
74;17.9;17.22
75;17.9;16.52
76;21.7;16.82
77;21.6;18.18
78;25.7;17.06
79;19.9;17.38
80;26.1;16.92
81;25.9;17.12
82;17.2;16.52
83;18.2;16.56
84;25.9;17.10
85;17.4;17.24
86;30.0;20.18
87;24.1;26.20
88;27.3;17.20
89;25.0;17.04
90;22.4;16.86
91;21.1;16.78
92;18.1;17.94
93;16.5;16.44
94;17.3;17.20
95;30.1;19.52
96;30.1;18.12
97;23.5;17.60
98;20.8;17.46
99;24.4;17.70
100;19.0;16.64
101;15.7;17.08
102;21.8;16.80
103;21.2;16.78
104;19.2;16.64
105;21.2;17.50
106;28.4;29.72
107;24.4;26.22
108;30.1;18.10
109;21.2;17.48
110;16.1;17.14
111;20.7;19.92
112;19.2;16.66
113;22.9;16.90
114;30.1;20.24
115;30.0;18.78
116;20.8;17.20
117;19.0;17.32
118;25.7;17.06
119;30.0;18.06
120;30.1;18.82
121;22.3;26.08
122;23.5;16.74
123;19.2;26.54
124;30.1;18.78
125;21.8;16.80
126;23.0;26.08
127;20.0;17.38
128;25.8;26.30
129;23.0;16.92
130;20.6;26.62
131;23.2;26.10
132;18.1;16.54
133;30.0;37.92
134;30.1;28.28
