Episode,SurvivalTime,TotalReward 
25,30,0,5,47
50,10,1,5,34
75,14,7,3,65
100,23,0,4,66
125,18,9,5,87
150,16,7,4,14
175,15,1,5,62
200,21,6,6,03
225,18,1,5,01
250,19,5,5,87
275,18,9,5,82
300,26,9,6,29
325,17,1,5,74
350,18,7,5,84
375,14,2,5,62
400,16,1,5,68
425,16,7,4,90
450,19,9,5,92
475,23,4,6,08
500,17,4,4,98
525,18,7,5,02
550,17,3,5,71
575,18,2,5,79
600,18,8,5,87
625,19,6,5,86
650,19,4,5,07
675,17,6,4,94
700,16,2,4,88
725,20,8,5,20
750,21,3,6,00
775,23,1,6,11
800,14,3,5,60
825,21,2,5,97
850,15,6,5,65
875,17,3,5,73
900,16,4,4,91
925,20,8,5,92
950,18,3,5,84
975,16,0,4,86
1000,17,7,5,81
