Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills
158;12.6;-1.22;1;5;100;0;0
159;12.2;1.26;1;5;100;2;1
160;18.4;13.20;1;4;100;6;5
161;17.3;10.28;1;4;100;4;4
162;23.7;16.78;1;4;100;6;6
163;15.8;9.46;1;6;130;5;4
164;16.1;13.34;1;4;100;6;5
165;20.2;16.68;1;4;100;6;6
166;14.0;7.44;1;4;100;5;3
167;15.1;7.30;1;4;100;4;3
168;20.3;16.68;1;4;100;6;6
169;12.1;7.28;1;4;100;4;3
170;10.8;3.98;1;4;100;2;2
171;17.2;16.70;1;4;100;7;6
172;15.8;10.56;1;5;125;5;4
173;12.8;7.16;1;4;100;4;3
174;9.4;0.86;1;4;100;2;1
175;15.1;10.32;1;4;100;5;4
176;11.6;7.06;1;4;100;3;3
177;15.1;13.26;1;4;100;6;5
178;13.0;7.16;1;4;100;4;3
179;16.6;13.42;1;4;100;6;5
180;10.8;6.98;1;4;100;4;3
181;13.7;7.38;1;4;100;4;3
182;24.6;23.20;1;4;100;9;8
183;18.3;16.68;1;4;100;7;6
184;13.3;10.14;1;4;100;5;4
185;11.2;3.96;1;4;100;3;2
186;16.6;13.38;1;4;100;6;5
187;11.5;7.22;1;4;100;4;3
188;9.8;3.92;1;4;100;3;2
189;10.8;3.88;1;4;100;4;2
190;8.2;0.76;1;4;100;2;1
191;10.5;4.16;1;4;100;4;2
192;12.8;7.12;1;4;100;4;3
193;15.3;10.50;1;4;100;5;4
194;13.3;10.18;1;4;100;5;4
195;17.7;14.38;1;4;100;6;5
196;21.5;13.76;1;4;100;6;5
197;11.8;6.86;1;6;130;4;3
198;18.3;16.72;1;4;100;7;6
199;16.6;13.40;1;4;100;5;5
200;13.5;6.28;1;6;130;4;3
