Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
128;33.4;-9.04;1;4;100;1;1;1;3
129;41.9;-6.01;1;5;125;4;2;3;2
130;28.8;-2.98;1;4;100;5;3;0;2
131;45.3;3.07;1;5;125;6;5;3;0
132;26.8;-0.24;1;4;100;5;4;0;1
133;114.7;14.50;1;8;185;11;8;4;7
134;22.7;-3.10;1;4;100;3;3;0;2
135;26.9;0.00;1;4;100;4;4;1;1
136;33.4;0.38;1;4;100;5;4;1;2
137;42.1;2.88;1;6;150;7;5;5;1
138;24.7;-3.28;1;4;100;3;3;0;0
139;56.1;0.13;1;7;155;6;4;2;2
140;50.2;-5.70;1;6;130;5;2;2;3
141;18.6;-6.50;1;4;100;4;2;1;1
142;42.9;6.62;1;4;100;8;6;0;2
143;68.5;10.11;1;5;125;11;7;3;4
144;21.6;-6.40;1;4;100;3;2;0;1
145;53.0;3.56;1;4;100;6;5;1;2
146;30.0;0.08;1;4;100;5;4;0;2
147;59.4;4.14;1;4;100;6;5;2;2
148;42.2;6.70;1;4;100;7;6;1;2
149;113.1;20.41;1;7;175;14;10;6;5
150;57.3;7.14;1;4;100;9;6;1;3
151;60.2;4.30;1;4;100;8;5;1;4
152;18.5;-9.48;1;4;100;2;1;1;0
153;29.8;-12.10;1;4;100;2;0;2;2
154;41.7;0.24;1;4;100;6;4;0;3
155;48.6;3.44;1;4;100;6;5;1;1
156;30.4;-2.90;1;4;100;3;3;1;3
157;38.2;3.46;1;4;100;7;5;2;2
158;19.3;-9.42;1;4;100;3;1;2;0
159;28.1;-6.20;1;4;100;2;2;0;2
160;23.7;-3.10;1;4;100;4;3;1;1
161;28.8;-0.89;1;7;155;6;4;3;0
162;24.2;-6.30;1;4;100;3;2;2;0
163;27.6;-9.20;1;4;100;2;1;2;0
164;45.9;-3.47;1;7;175;6;3;5;0
165;36.8;-5.96;1;4;100;4;2;1;0
166;26.5;-3.04;1;4;100;5;3;1;2
167;45.0;-2.64;1;4;100;4;3;4;2
168;19.5;-9.26;1;4;100;4;1;0;2
169;63.8;7.07;1;5;125;7;6;4;3
170;58.4;0.26;1;6;150;6;4;3;2
171;48.3;0.48;1;4;100;4;4;4;0
172;77.4;15.77;1;9;220;10;9;4;4
173;24.8;-6.26;1;4;100;3;2;1;0
174;34.3;-0.04;1;4;100;6;4;1;0
175;53.6;-1.94;1;4;100;6;3;1;3
176;31.1;-6.08;1;4;100;4;2;0;0
177;24.7;-9.30;1;4;100;2;1;1;2
178;70.8;18.91;1;7;175;12;10;4;3
179;27.9;-3.20;1;4;100;4;3;1;1
180;24.7;-6.24;1;4;100;3;2;1;2
181;34.7;0.04;1;4;100;4;4;2;1
182;27.8;-6.43;1;5;125;4;2;1;3
183;21.2;-6.40;1;4;100;3;2;0;0
184;53.0;3.71;1;5;125;6;5;4;3
185;39.2;-5.64;1;4;100;3;2;2;2
186;29.0;-0.22;1;4;100;4;4;0;2
187;74.2;-4.72;1;4;100;3;2;4;6
188;44.7;0.26;1;4;100;5;4;2;0
189;43.4;0.30;1;4;100;5;4;0;3
190;29.8;-6.12;1;4;100;2;2;1;1
191;37.0;3.57;1;6;130;7;5;2;1
192;37.1;0.14;1;4;100;4;4;2;0
193;22.5;-3.40;1;4;100;5;3;1;0
194;53.1;4.09;1;6;130;6;5;5;2
195;31.6;-9.12;1;4;100;2;1;2;2
196;44.4;3.70;1;4;100;7;5;1;2
197;56.6;0.90;1;4;100;4;4;1;3
198;39.3;0.54;1;4;100;5;4;4;3
199;38.0;-0.21;1;5;125;6;4;3;0
200;21.3;-6.18;1;4;100;4;2;0;2
201;55.0;9.62;1;4;100;7;7;4;1
202;17.4;-9.52;1;4;100;3;1;0;0
203;45.4;9.76;1;4;100;8;7;1;2
204;33.4;-6.04;1;4;100;3;2;3;2
205;53.5;0.58;1;4;100;4;4;4;2
206;22.3;-0.18;1;4;100;5;4;0;2
207;47.5;3.51;1;7;160;7;5;2;2
208;79.7;20.16;1;4;100;13;10;3;5
209;42.7;0.28;1;4;100;4;4;2;0
210;25.2;-3.04;1;4;100;4;3;1;2
211;34.4;-6.02;1;4;100;3;2;0;1
212;24.8;-9.10;1;4;100;2;1;1;1
213;54.7;6.78;1;4;100;7;6;1;5
214;93.6;31.92;1;7;160;16;14;3;6
215;28.2;-6.20;1;4;100;3;2;0;0
216;48.6;6.64;1;4;100;6;6;3;2
217;40.2;-5.80;1;4;100;3;2;2;1
218;27.4;-3.12;1;4;100;3;3;1;0
219;59.5;6.84;1;6;150;8;6;3;5
220;34.0;-0.02;1;4;100;6;4;1;1
221;60.4;7.35;1;6;130;10;6;2;2
