Episode;SurvivalTime;TotalReward 
1;14.7;16.88
2;15.3;16.32
3;18.7;16.52
4;16.8;17.10
5;17.7;17.14
6;15.2;16.30
7;20.0;25.82
8;16.3;16.36
9;16.1;16.34
10;20.0;26.52
11;15.9;17.04
12;19.1;16.54
13;21.5;16.74
14;15.0;16.96
15;22.1;16.74
16;16.0;16.34
17;15.4;16.30
18;19.9;16.62
19;18.2;17.92
20;20.4;17.34
21;18.9;16.54
22;23.0;16.80
23;13.4;17.76
24;15.6;17.02
25;14.8;16.26
26;14.3;16.24
27;16.7;17.08
28;20.3;16.64
29;21.1;16.70
30;18.4;17.18
31;22.8;17.52
32;30.1;18.02
33;13.3;16.14
34;21.6;18.12
35;20.0;16.62
36;20.6;22.90
37;19.1;16.56
38;19.3;16.58
39;21.2;16.70
40;21.6;16.74
41;17.9;17.16
42;19.4;23.46
43;20.1;17.34
44;20.5;16.64
45;26.0;17.02
46;17.6;26.12
47;22.4;16.70
48;21.0;16.66
49;30.1;19.40
50;27.6;17.08
51;14.8;16.24
52;14.4;16.20
53;20.2;16.64
54;15.2;16.24
55;17.1;25.60
56;13.5;16.16
57;14.4;16.94
58;14.2;16.24
59;13.4;17.54
60;17.8;25.66
61;16.3;16.38
62;16.8;17.10
63;18.5;16.52
64;18.3;17.90
65;21.7;17.42
66;30.0;18.68
67;19.5;16.58
68;29.8;18.00
69;30.1;20.12
70;17.0;16.42
71;17.3;16.42
72;23.0;17.52
73;17.0;16.42
74;22.1;26.68
75;14.1;17.62
76;19.3;17.26
77;19.1;17.26
78;19.2;16.56
79;18.0;17.20
80;15.9;17.70
81;19.8;16.60
82;20.6;17.36
83;14.7;16.24
84;15.8;16.34
85;21.5;26.62
86;21.3;16.70
87;22.8;26.02
88;23.9;17.58
89;16.6;17.08
90;16.5;25.60
91;23.3;26.04
92;15.8;16.54
93;20.5;16.66
94;19.0;16.56
95;20.6;20.56
96;24.1;17.60
97;27.9;20.34
98;21.2;16.72
99;30.0;20.12
100;22.3;26.66
101;17.4;17.16
102;30.0;29.34
103;21.3;26.64
104;18.9;17.24
105;20.2;16.64
106;17.1;17.14
107;13.7;16.20
108;18.2;16.48
109;13.6;16.16
110;21.1;16.68
111;21.3;16.72
112;18.1;17.18
113;15.2;16.30
114;19.4;16.56
115;22.5;25.98
116;23.5;17.30
117;18.1;17.18
118;23.1;16.80
119;17.2;17.10
120;22.0;17.48
121;15.2;20.22
122;16.0;17.04
123;19.6;17.96
124;18.6;17.92
125;19.6;16.56
126;18.8;16.52
127;15.7;20.22
128;19.5;17.28
129;30.1;17.26
130;21.0;16.70
131;19.8;26.52
