Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
98;120.2;32.48;0;2;40;21;19;14;8;50.3;3;3
99;120.0;34.59;0;1;20;21;21;14;12;89.5;2;0
100;120.0;29.84;0;6;120;18;15;6;9;91.0;7;5
101;120.1;35.46;0;4;80;23;21;8;17;20.4;2;3
102;120.2;34.35;0;5;100;21;19;6;19;71.1;3;3
103;120.1;34.08;0;2;40;20;20;13;14;17.0;3;3
104;120.1;34.47;0;3;60;23;21;16;9;31.3;2;6
105;120.1;33.17;0;3;60;19;18;10;13;52.2;3;4
106;120.0;33.68;0;2;40;21;19;10;16;40.1;2;2
107;120.1;34.86;0;4;80;24;22;8;13;39.9;2;2
108;120.1;33.00;0;0;0;22;19;12;16;-1.0;3;1
109;120.1;35.67;0;3;60;28;22;11;15;20.0;2;4
110;120.1;35.04;0;6;120;29;22;13;10;16.3;3;4
111;120.1;33.58;0;2;40;23;21;9;10;28.0;2;1
112;120.1;36.05;0;5;100;23;22;11;16;46.1;3;2
113;120.0;36.07;0;3;60;29;23;11;13;18.9;2;1
114;120.1;35.38;0;2;40;24;23;7;12;27.5;2;2
115;120.1;33.68;0;2;40;21;19;9;13;77.8;3;0
116;120.1;33.66;0;4;80;24;21;8;7;68.2;2;3
117;120.1;34.67;0;3;60;27;20;13;12;30.6;3;1
118;120.1;34.37;0;3;60;23;21;10;12;51.8;4;3
119;120.1;34.99;0;1;20;23;22;11;12;41.4;3;4
120;120.1;34.98;0;2;40;24;22;11;13;51.5;2;5
121;120.2;35.18;0;2;40;23;22;13;12;66.0;3;2
122;120.1;34.57;0;15;300;21;20;11;7;65.8;5;7
123;120.1;35.00;0;10;200;23;22;10;12;33.6;3;3
124;70.9;8.85;1;5;100;12;11;4;5;61.4;3;6
125;120.1;35.42;0;8;160;23;21;8;10;40.6;3;5
126;120.1;32.97;0;3;60;18;18;14;13;12.6;2;2
127;120.1;34.84;0;6;120;24;21;10;16;33.8;3;0
128;120.1;34.67;0;3;60;22;20;15;11;32.5;2;3
129;120.0;35.37;0;3;60;22;21;13;11;10.7;2;1
130;120.1;35.76;0;4;80;22;22;14;10;43.6;2;4
131;119.6;21.13;1;8;150;19;17;13;7;84.2;4;2
132;120.1;35.38;0;2;40;22;22;7;12;26.5;2;3
133;120.1;31.89;0;1;20;17;17;11;14;42.7;2;4
134;120.0;32.47;0;3;60;22;19;12;9;110.5;4;1
135;120.1;34.62;0;9;180;24;20;14;7;34.5;4;3
136;120.1;33.84;0;6;120;20;19;12;9;22.7;4;4
137;120.0;32.08;0;2;40;20;20;4;10;12.6;2;7
138;120.1;33.58;0;2;40;20;20;9;14;54.7;2;1
139;120.2;33.97;0;3;60;22;21;8;7;46.0;2;3
140;120.1;34.20;0;0;0;22;21;12;12;-1.0;3;0
141;120.2;33.70;0;0;0;23;22;8;11;-1.0;2;3
142;120.0;33.40;0;0;0;22;21;10;14;-1.0;2;1
143;120.1;34.40;0;0;0;21;21;9;19;-1.0;2;2
144;120.0;32.98;0;2;40;21;20;5;9;77.1;3;0
145;120.0;33.48;0;2;40;20;19;12;11;40.2;3;2
146;120.1;34.67;0;3;60;21;20;12;15;18.6;3;5
147;120.1;36.27;0;3;60;24;22;11;14;30.4;3;3
148;120.0;33.09;0;1;20;20;20;13;7;104.9;2;2
149;120.1;33.57;0;3;60;21;20;6;11;17.6;2;2
150;120.1;34.59;0;1;20;22;22;5;11;23.7;3;4
151;120.1;33.09;0;1;20;20;20;10;12;29.5;2;5
152;120.0;36.00;0;0;0;22;22;7;18;-1.0;1;1
153;120.1;36.07;0;3;60;23;22;12;13;73.9;3;0
154;120.1;35.39;0;1;20;22;22;10;14;67.4;3;1
155;120.1;35.37;0;3;60;23;21;8;16;30.1;3;2
156;120.0;35.25;0;5;100;23;20;9;17;31.7;3;2
157;120.0;34.28;0;2;40;22;21;12;12;31.3;2;2
158;62.2;6.25;1;5;100;11;8;2;11;52.9;3;2
159;120.1;34.36;0;4;80;23;22;10;9;50.1;3;1
160;120.1;36.07;0;3;60;23;22;13;12;42.1;2;1
161;120.1;34.87;0;3;60;24;21;8;14;30.5;3;2
162;120.1;33.87;0;3;60;20;20;10;13;34.7;4;1
163;120.1;35.44;0;6;120;23;21;10;11;26.7;3;2
164;120.0;35.20;0;0;0;21;21;9;17;-1.0;2;2
165;120.0;32.26;0;4;80;21;21;4;8;86.5;2;1
166;120.0;34.09;0;1;20;23;22;9;11;117.9;2;1
167;120.0;36.17;0;3;60;23;22;10;18;28.6;3;0
168;120.1;37.26;0;4;80;26;23;9;14;15.8;2;1
169;120.1;34.39;0;1;20;21;21;12;15;35.4;2;0
170;120.0;33.98;0;2;40;21;21;4;11;47.9;3;3
171;120.1;34.58;0;2;40;24;21;7;15;95.2;2;2
172;120.0;35.30;0;0;0;22;22;11;16;-1.0;2;4
173;120.1;34.08;0;2;40;21;21;16;13;47.2;4;0
174;120.0;33.20;0;0;0;22;21;6;7;-1.0;2;3
175;120.1;35.00;0;0;0;22;22;15;11;-1.0;2;0
176;120.0;34.58;0;2;40;22;21;13;17;50.9;2;2
177;120.1;33.07;0;3;60;21;20;8;9;25.9;3;1
178;120.1;34.43;0;8;160;25;21;6;11;83.0;2;1
179;120.1;36.02;0;8;160;23;21;11;16;33.5;3;2
180;97.2;13.65;1;7;130;13;11;5;7;56.0;4;3
181;120.0;34.49;0;1;20;25;21;13;15;75.2;2;4
182;120.1;34.68;0;2;40;24;20;12;13;50.1;2;2
183;120.0;33.95;0;5;100;26;21;4;9;26.4;3;3
184;120.0;32.89;0;1;20;23;20;4;7;95.1;2;2
185;120.1;34.57;0;3;60;22;20;7;13;16.1;3;1
186;120.0;33.37;0;3;60;23;20;13;11;89.9;4;4
187;120.0;35.60;0;0;0;28;22;12;16;-1.0;2;1
188;120.1;35.40;0;0;0;26;22;11;16;-1.0;2;0
189;102.7;18.31;1;10;190;20;17;6;6;22.0;4;4
190;120.0;35.26;0;4;80;25;21;4;13;40.2;4;6
191;120.1;34.09;0;1;20;21;20;10;15;117.2;2;2
192;120.1;36.38;0;2;40;26;22;14;17;22.8;2;0
193;120.1;36.33;0;7;140;28;21;9;17;23.5;3;1
194;120.0;36.06;0;4;80;28;22;18;12;28.7;3;2
195;120.1;35.48;0;2;40;25;22;14;15;24.7;2;3
196;120.2;33.49;0;1;20;23;19;12;15;27.9;2;3
197;120.1;35.77;0;3;60;26;22;8;14;31.9;4;0
198;120.2;34.36;0;4;80;27;20;12;14;43.4;3;2
199;120.1;34.09;0;1;20;23;21;12;14;80.8;2;3
200;120.1;34.60;0;0;0;23;21;11;18;-1.0;2;2
201;120.1;33.89;0;1;20;26;21;12;10;56.4;2;0
202;120.1;32.71;0;10;200;21;17;17;6;57.0;5;1
203;120.1;34.39;0;2;40;26;21;16;14;85.4;3;3
204;120.2;37.16;0;4;80;28;23;13;14;14.4;2;0
205;120.1;35.97;0;3;60;23;21;14;17;24.8;3;0
206;120.1;34.87;0;3;60;23;21;15;14;15.7;2;0
207;120.1;34.98;0;2;40;25;21;16;16;30.9;2;0
208;120.2;35.54;0;6;120;24;21;16;13;37.0;4;1
209;120.1;34.87;0;3;60;24;21;11;17;112.5;3;1
210;120.0;35.15;0;5;100;28;18;11;19;39.8;4;1
211;120.1;32.95;0;5;100;24;20;14;10;18.4;3;1
212;120.1;35.44;0;6;120;25;22;10;17;35.2;2;2
213;120.1;35.45;0;5;100;25;22;17;12;46.8;3;4
214;120.0;35.10;0;0;0;24;22;14;15;-1.0;2;4
215;120.1;34.78;0;2;40;24;22;15;11;67.4;2;2
216;120.1;34.79;0;1;20;27;21;12;14;80.4;2;2
217;120.2;35.38;0;2;40;25;21;14;15;65.6;2;0
218;120.0;35.39;0;1;20;24;21;15;16;50.4;2;0
219;120.2;34.48;0;2;40;23;20;11;14;39.0;3;1
220;120.1;36.19;0;1;20;25;23;13;16;79.2;3;1
221;120.2;35.09;0;1;20;25;22;17;12;73.9;2;0
222;120.1;35.77;0;3;60;25;22;12;17;41.8;2;1
223;120.0;33.48;0;2;40;25;22;6;15;112.2;2;0
224;120.1;33.64;0;6;120;25;21;6;10;45.7;3;1
225;120.1;36.29;0;1;20;27;22;12;16;52.5;2;1
226;120.2;36.46;0;4;80;25;21;11;18;12.5;2;1
