Episode;SurvivalTime;TotalReward 
1;20.0;17.38
2;16.2;17.10
3;15.4;16.38
4;19.8;16.66
5;21.3;17.46
6;17.1;20.38
7;19.0;16.52
8;29.5;17.02
9;19.9;17.52
10;19.7;16.64
11;18.8;16.60
12;17.1;16.46
13;19.5;17.34
14;15.5;17.06
15;20.4;17.44
16;17.8;16.54
17;23.6;16.72
18;23.2;16.92
19;18.2;17.26
20;24.9;17.04
21;23.8;16.92
22;18.9;17.32
23;19.0;25.82
24;17.0;15.58
25;20.1;17.40
26;19.4;26.54
27;21.9;26.04
28;16.0;17.10
29;18.4;16.56
30;16.8;16.44
31;20.1;16.68
32;30.0;20.18
33;30.1;18.82
34;20.6;17.42
35;30.1;21.28
36;19.9;19.90
37;21.6;26.02
38;19.8;23.36
39;23.1;26.96
40;22.5;27.24
41;16.7;16.46
42;17.2;21.08
43;21.4;16.78
44;19.8;16.66
45;26.0;26.98
46;16.1;17.10
47;22.1;29.24
48;30.1;17.96
49;21.1;32.22
50;20.6;26.66
51;19.2;16.62
52;28.7;27.22
53;29.9;26.92
54;19.0;16.62
55;22.4;17.56
56;16.6;17.86
57;26.8;17.12
58;18.2;25.78
59;30.1;25.04
60;23.8;16.96
61;22.9;16.88
62;25.8;35.48
63;19.4;26.52
64;26.5;36.26
65;20.7;27.36
66;19.7;16.68
67;21.3;17.46
68;30.1;36.30
69;21.3;26.70
70;19.7;25.84
71;17.7;16.50
72;17.5;17.22
73;17.0;16.52
74;13.8;16.24
75;21.6;16.58
76;15.7;17.08
77;23.9;26.86
78;22.2;16.86
79;21.8;17.52
80;18.6;16.56
81;23.6;16.94
82;20.2;16.70
83;21.9;16.82
84;30.1;20.22
85;20.6;16.74
86;22.0;16.80
87;22.8;16.82
88;22.9;16.90
89;15.4;16.34
90;30.0;18.80
91;18.2;17.24
92;20.0;16.66
93;15.4;16.36
94;22.6;18.24
95;20.4;18.10
96;22.2;18.04
97;21.6;16.76
98;25.5;16.80
99;22.8;27.44
100;24.3;17.60
101;22.1;29.26
102;21.9;26.06
103;27.6;27.12
104;25.7;17.76
105;30.1;28.72
106;22.9;26.14
107;25.3;17.10
108;29.4;23.56
109;23.5;17.62
110;25.5;17.08
111;23.6;16.90
112;21.6;26.04
113;20.3;16.72
114;22.2;26.08
115;27.5;26.22
116;16.8;16.44
117;30.0;17.96
118;22.9;26.06
119;30.1;18.80
120;21.0;17.46
121;26.5;26.38
122;21.8;16.82
123;22.3;26.78
124;17.2;15.58
125;22.4;23.78
126;19.0;16.62
127;21.0;16.76
128;17.3;16.48
129;20.5;16.74
130;22.3;18.24
131;21.2;27.40
132;25.3;17.78
133;21.4;25.96
134;24.3;17.00
135;25.0;26.92
136;18.9;26.50
137;21.4;19.98
138;23.3;16.94
139;29.5;16.46
140;21.5;27.44
141;20.0;22.92
142;18.8;16.58
143;16.9;16.94
144;25.5;17.78
145;23.8;17.62
146;30.1;19.46
147;30.0;19.46
148;24.8;24.62
149;20.0;22.90
150;26.7;17.18
151;25.4;20.26
152;27.5;17.26
153;30.1;16.96
154;22.0;17.54
155;23.5;17.62
156;28.1;35.50
157;20.7;16.72
158;19.2;18.02
159;17.8;17.24
160;18.2;16.58
161;19.4;17.32
162;19.6;26.56
163;22.6;26.10
164;21.2;26.66
165;20.7;25.94
166;23.8;26.16
167;21.8;17.52
168;23.0;26.10
169;25.0;17.00
170;22.2;25.86
171;22.7;35.32
172;16.7;16.46
173;20.4;25.92
174;30.1;36.58
175;16.9;16.46
176;23.7;16.96
177;25.8;17.06
178;18.0;17.24
179;27.4;17.20
180;30.0;19.44
181;30.1;28.00
182;20.3;17.44
183;30.0;18.84
184;21.5;26.04
185;25.8;17.84
186;23.4;16.72
187;22.4;17.34
188;23.9;26.00
189;18.3;16.58
190;29.8;18.08
191;22.7;17.58
192;30.2;28.00
193;30.1;27.30
194;21.3;36.60
195;30.1;19.52
196;26.5;17.84
197;23.0;27.52
198;28.7;17.30
199;30.0;18.64
200;23.7;17.68
201;16.4;17.82
202;30.2;18.80
203;24.4;17.68
204;25.6;27.02
205;17.5;17.90
206;22.9;26.10
207;19.4;17.34
208;20.5;17.44
209;30.1;17.56
210;17.1;17.14
