Episode;SurvivalTime;TotalReward 
1;17.1;16.42
2;16.0;16.36
3;17.9;17.22
4;19.5;17.34
5;18.6;16.56
6;18.5;17.10
7;18.9;16.44
8;18.5;17.06
9;20.5;16.68
10;22.0;26.00
11;24.5;16.98
12;25.0;17.74
13;20.2;25.90
14;17.2;17.20
15;19.1;17.34
16;20.7;19.94
17;19.2;16.62
18;20.4;16.60
19;21.0;17.22
20;18.8;16.58
21;27.5;36.32
22;17.4;16.48
23;18.6;19.78
24;21.2;18.16
25;23.3;17.60
26;20.3;25.90
27;20.6;17.32
28;20.2;16.70
29;18.6;15.54
30;19.9;25.70
31;20.9;25.86
32;27.9;16.94
33;16.2;16.96
34;16.7;16.94
35;17.1;16.38
36;16.5;16.44
37;24.9;17.02
38;17.0;16.46
39;21.6;16.78
40;25.4;26.28
41;17.3;17.14
42;26.0;17.10
43;17.6;16.26
44;16.2;16.38
45;23.1;16.92
46;24.5;17.00
47;25.3;17.04
48;26.0;17.08
49;20.0;17.38
50;17.7;17.20
51;24.8;18.42
52;22.4;16.84
53;20.2;16.70
54;18.0;16.64
55;30.1;18.58
56;26.6;17.82
57;30.1;28.72
58;27.9;17.20
59;23.3;17.58
60;19.9;16.64
61;24.5;17.66
62;22.3;16.80
63;19.0;17.32
64;20.6;26.56
65;20.7;16.98
66;21.1;26.66
67;20.8;25.96
68;22.8;26.78
69;22.2;18.04
70;18.1;16.34
71;21.2;26.64
72;20.4;16.70
73;22.9;20.06
74;26.7;26.86
75;30.0;31.16
76;25.0;16.70
77;18.3;17.26
78;22.5;20.78
79;24.2;16.96
80;19.7;17.14
81;30.0;19.48
82;26.8;17.10
83;24.2;23.16
84;23.8;16.94
85;29.0;29.68
86;19.0;17.12
87;30.1;28.14
88;18.2;17.26
89;29.6;26.54
90;24.4;17.00
91;21.4;19.98
92;30.1;19.06
93;27.9;37.00
94;21.9;32.24
95;20.9;25.94
96;22.8;18.16
97;22.3;25.96
98;15.6;16.34
99;20.2;18.12
100;20.6;25.94
101;26.6;17.14
102;25.9;26.98
103;22.8;16.86
104;16.9;17.84
105;30.1;20.22
106;20.3;16.68
107;30.2;18.66
108;25.9;36.10
109;17.1;17.16
110;30.1;27.96
111;21.8;26.74
112;18.5;17.28
113;17.0;17.16
114;19.2;16.62
115;23.3;16.90
116;27.3;17.18
117;18.6;16.54
118;20.1;16.68
119;17.7;17.04
120;21.9;16.76
121;16.7;17.12
122;19.5;16.48
123;18.9;16.34
124;30.0;17.14
125;30.1;19.48
126;27.1;17.12
127;17.0;17.88
128;18.8;17.24
129;20.3;16.68
130;30.2;17.92
131;19.8;18.02
132;30.1;27.30
133;30.0;19.46
134;18.8;17.32
135;27.2;17.84
136;18.4;17.04
137;30.1;18.74
138;22.2;26.06
139;26.5;17.80
140;21.6;17.82
141;19.6;26.46
142;22.2;17.50
143;21.6;16.78
144;28.7;26.46
145;18.1;25.72
146;26.1;17.82
147;30.1;28.40
148;23.9;17.70
149;22.0;25.84
150;19.7;17.34
151;18.7;16.36
152;24.1;18.26
153;20.9;16.74
154;23.5;25.92
155;20.1;16.66
156;30.1;18.04
157;20.6;16.76
158;21.0;28.04
159;19.3;18.04
160;19.2;17.32
161;23.2;26.78
162;22.3;17.94
163;19.5;25.66
164;23.8;26.14
165;18.5;17.24
166;26.5;24.02
167;17.2;17.14
168;21.2;18.18
169;19.6;25.80
170;20.6;25.92
171;21.1;16.74
172;22.2;26.06
173;21.6;17.48
174;22.7;26.00
175;30.1;37.72
176;22.5;26.04
177;20.6;17.38
178;16.6;16.42
179;17.0;16.48
180;29.6;18.02
181;24.7;17.00
182;26.4;17.78
183;18.4;17.26
184;17.9;17.20
185;18.5;16.56
186;18.2;16.32
187;15.4;16.36
188;21.3;16.74
189;30.2;17.90
190;24.5;17.72
191;25.0;17.70
192;31.5;18.50
193;25.6;17.02
194;28.0;26.44
195;27.8;17.88
196;18.3;17.06
197;26.1;26.30
198;25.7;20.24
199;20.7;18.10
200;21.6;26.66
201;21.0;19.94
202;22.3;16.82
203;24.1;16.70
204;25.0;16.98
205;19.8;17.36
206;21.2;25.96
207;29.8;17.02
208;30.0;18.06
209;20.5;18.10
210;28.9;17.26
211;29.7;26.54
212;16.7;17.12
213;22.1;16.84
214;25.0;26.24
215;22.4;26.76
216;30.1;19.94
217;17.6;16.36
218;30.1;20.20
219;26.8;17.84
220;18.0;16.56
221;22.9;16.88
222;19.1;18.00
223;20.6;16.74
224;15.3;16.36
225;23.6;17.64
226;21.3;25.98
227;16.7;17.14
228;15.8;17.02
229;23.0;16.68
230;20.2;20.60
231;19.8;25.90
232;17.8;16.34
233;27.0;17.14
234;20.4;16.70
235;30.0;25.68
236;20.0;25.88
237;17.3;16.48
238;19.7;17.16
239;24.1;26.18
240;20.0;26.34
241;20.6;16.58
242;16.7;17.16
243;16.6;16.42
244;16.7;16.42
245;19.7;16.66
246;22.7;16.88
247;27.9;17.22
248;23.7;16.94
249;25.3;17.72
250;22.1;17.52
251;20.6;17.44
252;27.3;16.96
253;21.8;16.82
254;30.0;27.98
255;30.0;29.44
256;25.1;17.72
257;28.2;17.22
258;21.6;16.78
259;26.8;17.18
260;24.7;26.22
261;19.1;17.32
262;26.4;17.34
263;24.3;17.44
