Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;45.1;1.95;1;5;100;8;8;1;1;31.4;3;5
2;56.4;5.75;1;5;100;12;11;1;2;22.5;3;4
3;33.6;-3.15;1;5;100;3;3;2;0;21.4;3;1
4;40.5;0.55;1;5;100;8;8;1;1;30.7;3;5
5;36.4;-0.05;1;7;130;7;7;1;1;19.9;4;3
6;39.5;0.05;1;5;100;6;6;1;2;32.6;4;3
7;21.8;-6.05;1;5;100;2;0;1;0;14.8;4;2
8;51.0;4.85;1;5;100;11;11;0;2;24.0;5;4
9;21.9;-4.65;1;5;100;4;3;1;0;14.0;4;1
10;27.3;-1.55;1;5;100;8;6;0;3;9.7;5;2
11;22.6;-4.45;1;5;100;4;3;0;1;14.2;4;2
12;51.6;2.95;1;5;100;10;7;1;2;42.2;6;4
13;36.5;-0.46;1;6;120;7;5;2;1;15.3;4;3
14;27.8;-2.55;1;5;100;6;5;0;1;20.5;3;1
15;48.5;3.24;1;9;160;8;8;4;0;16.2;4;4
16;31.0;-1.15;1;5;100;7;6;0;2;16.1;3;3
17;35.7;0.35;1;5;100;8;8;1;1;20.8;5;3
18;39.5;0.55;1;5;100;8;7;1;0;22.4;3;3
19;40.5;0.94;1;7;130;8;7;2;0;20.5;4;3
20;33.9;0.05;1;5;100;8;8;0;1;16.6;4;2
21;42.9;1.74;1;6;120;9;7;1;2;22.6;4;4
22;38.1;-0.15;1;5;100;6;6;2;0;30.1;5;2
23;43.3;1.25;1;5;100;8;7;2;1;34.9;4;5
24;47.6;3.15;1;5;100;10;9;0;2;22.8;4;4
25;41.4;1.35;1;5;100;8;8;0;1;26.0;2;4
26;38.6;0.93;1;8;160;8;7;3;0;11.8;4;4
27;39.7;1.14;1;6;120;7;7;1;2;18.6;4;2
28;20.9;-4.25;1;5;100;5;4;1;0;13.6;5;0
29;50.4;3.53;1;8;150;8;8;3;1;18.6;4;3
30;21.9;-3.05;1;5;100;6;6;0;1;14.2;5;1
31;28.4;-1.95;1;5;100;6;6;1;0;18.5;4;2
32;74.9;12.83;1;8;160;17;16;3;4;45.7;5;5
33;65.4;7.14;1;7;130;14;11;2;3;35.8;5;5
34;30.1;-2.85;1;5;100;5;4;0;2;21.9;4;2
35;57.1;7.24;1;7;130;14;13;3;2;28.0;3;3
36;19.6;-4.15;1;5;100;6;5;1;0;12.1;5;0
37;40.6;0.55;1;6;120;8;7;3;0;14.7;3;3
