Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;37.3;-0.85;1;5;100;6;5;2;1;21.1;3;3
2;41.3;1.43;1;8;160;7;7;2;3;21.5;3;3
3;64.7;7.20;1;11;220;11;9;6;1;12.0;4;7
4;37.2;-0.58;1;8;160;5;5;3;1;17.7;3;3
5;33.4;-3.35;1;5;100;3;2;1;3;24.0;4;1
6;80.1;12.42;1;8;160;14;14;2;7;24.1;5;7
7;38.4;-0.15;1;5;100;6;6;2;1;29.2;5;4
8;35.4;-1.17;1;7;130;7;5;2;1;23.8;3;3
9;93.2;13.42;1;8;160;14;13;6;3;30.7;5;4
10;35.4;-1.75;1;5;100;6;5;1;1;19.9;5;3
11;73.3;9.41;1;9;180;14;11;4;6;26.9;4;6
12;59.8;4.44;1;7;130;10;8;2;3;21.1;4;4
13;49.2;1.75;1;5;100;7;7;3;0;31.1;6;4
14;27.9;-4.65;1;5;100;1;1;0;1;20.1;4;1
15;60.6;5.32;1;8;160;11;8;2;2;20.3;4;4
16;74.9;10.83;1;8;150;15;13;3;3;19.1;4;7
17;33.0;-1.85;1;5;100;5;5;2;1;27.3;3;2
18;79.1;10.72;1;10;190;15;11;3;4;17.4;4;6
19;42.7;1.95;1;6;120;10;8;2;2;15.9;4;3
20;47.3;3.15;1;5;100;11;9;2;4;36.5;5;2
21;66.1;6.12;1;9;180;12;9;4;3;19.9;4;4
22;58.3;5.54;1;7;130;11;9;2;2;20.0;3;4
23;97.0;17.69;1;12;240;20;17;5;5;15.5;6;7
24;81.1;12.42;1;10;190;15;14;3;5;22.5;5;7
25;30.0;-2.65;1;5;100;6;4;0;2;18.9;3;2
26;66.0;8.14;1;7;130;14;12;1;3;30.9;3;6
27;48.3;2.95;1;5;100;9;8;0;3;15.7;5;5
28;77.2;10.53;1;7;140;14;12;5;2;30.7;5;5
29;58.3;3.94;1;7;130;8;7;1;2;26.9;3;5
30;69.2;6.91;1;9;180;8;8;4;0;22.7;5;6
31;98.5;16.22;1;8;160;18;15;5;4;49.2;6;6
32;48.0;5.55;1;5;100;15;13;0;4;31.2;3;3
33;22.2;-4.15;1;5;100;5;4;1;0;12.6;5;2
34;26.4;-2.66;1;7;130;5;5;2;0;14.5;6;3
35;56.8;4.33;1;9;170;8;8;3;0;28.1;5;5
36;60.9;6.85;1;5;100;12;12;1;3;51.3;6;6
37;120.0;38.22;0;8;160;30;27;6;11;18.1;3;7
38;37.3;0.55;1;5;100;8;8;1;1;23.8;3;3
39;71.4;7.92;1;8;160;11;10;3;1;22.0;3;4
40;36.5;2.25;1;5;100;12;11;1;2;26.7;4;1
41;72.6;10.52;1;8;160;16;12;3;5;22.6;6;5
42;34.9;-0.35;1;5;100;8;6;0;2;28.9;5;3
43;75.6;11.12;1;8;160;17;14;2;3;22.3;5;4
44;31.5;-0.58;1;8;160;8;7;2;2;16.1;4;2
45;23.8;-3.85;1;5;100;5;4;1;0;15.4;4;2
46;61.2;9.94;1;7;130;18;16;2;4;11.4;5;8
47;60.9;6.52;1;8;160;12;10;2;2;14.2;4;5
48;88.7;14.72;1;8;160;19;16;4;4;40.3;5;6
49;72.0;9.44;1;7;130;15;12;1;4;36.0;4;5
50;44.1;1.34;1;6;120;8;7;2;0;23.8;7;3
51;43.1;2.24;1;6;120;8;8;1;2;15.4;3;2
52;80.9;13.13;1;7;140;20;15;4;4;39.2;4;4
53;65.6;7.65;1;5;100;14;13;2;2;30.7;6;6
54;39.1;2.25;1;5;100;11;10;1;1;17.3;3;5
55;44.0;1.35;1;5;100;8;7;1;1;23.1;5;4
56;50.5;5.24;1;7;130;12;11;2;3;15.3;4;3
57;63.3;4.62;1;8;160;8;7;2;2;24.5;3;4
58;35.9;-1.25;1;5;100;8;5;0;0;23.0;4;2
59;73.1;9.54;1;7;130;13;11;2;4;26.0;4;4
60;68.9;7.84;1;7;130;12;11;1;2;17.8;7;3
61;90.6;17.10;1;10;200;23;19;5;5;16.8;4;5
62;77.4;10.92;1;8;160;13;11;2;6;25.5;6;3
63;90.1;16.18;1;12;240;20;16;6;4;37.5;6;5
64;43.0;1.65;1;5;100;8;8;0;1;34.8;5;2
65;31.7;-1.85;1;5;100;7;5;2;1;14.9;4;2
66;66.1;8.84;1;7;130;16;13;2;3;21.1;4;4
67;64.5;8.04;1;7;130;17;12;1;4;22.6;3;3
