Episode;SurvivalTime;TotalReward 
1;23.6;17.40
2;23.0;16.80
3;25.6;17.04
4;25.2;17.04
5;24.9;16.84
6;26.1;17.10
7;19.2;16.60
8;24.7;17.02
9;22.0;16.82
10;24.7;17.72
11;20.7;16.72
12;24.8;17.00
13;20.2;16.68
14;23.8;16.94
15;24.4;16.98
16;26.3;17.10
17;20.3;17.40
18;30.1;18.38
19;30.0;28.72
20;21.5;16.78
21;30.1;20.00
22;26.1;17.10
23;21.5;16.76
24;22.8;20.76
25;24.5;17.02
26;30.1;32.64
27;26.8;17.86
28;26.4;21.02
29;24.9;17.02
30;23.3;16.92
31;30.1;16.46
32;27.9;17.24
33;30.0;29.40
34;20.9;16.74
35;27.5;26.42
36;28.3;17.28
37;24.6;17.72
38;30.0;20.20
39;30.1;20.20
40;27.0;17.16
41;25.8;19.34
42;30.1;20.24
43;30.1;29.40
44;30.1;18.06
45;30.0;37.94
46;30.1;29.42
47;21.3;16.76
48;30.0;19.28
49;30.2;18.54
50;29.3;17.32
51;28.7;27.90
52;27.0;26.40
53;27.8;16.32
54;30.1;19.96
55;30.1;18.06
56;30.0;18.74
57;24.5;17.70
58;27.1;17.16
59;27.0;17.18
60;30.1;18.80
61;20.5;16.70
62;24.4;17.00
63;30.2;18.54
64;30.2;17.98
65;28.6;17.28
66;24.3;17.00
67;29.5;17.32
68;25.9;17.04
69;25.0;17.74
70;26.4;17.08
71;30.1;18.78
72;26.6;17.14
73;30.0;29.44
74;29.6;17.24
75;25.9;16.88
76;30.2;18.74
77;22.3;17.50
78;25.0;17.04
79;26.3;17.10
80;29.4;17.36
81;30.1;29.42
82;28.2;17.96
83;26.5;17.82
84;24.3;16.98
85;26.9;17.16
86;28.8;17.30
87;30.0;29.42
88;30.0;20.18
89;27.1;17.90
90;25.8;17.08
91;30.0;29.40
92;30.0;29.46
93;30.1;19.46
94;30.1;18.62
95;25.4;16.88
96;23.8;18.14
97;30.1;18.26
98;28.9;17.10
99;26.9;20.34
100;30.1;29.42
101;30.1;29.42
102;30.0;17.40
103;30.0;38.62
104;30.0;27.28
105;21.9;16.84
106;21.3;16.74
107;27.4;27.12
108;28.2;26.98
109;24.4;16.76
110;19.3;17.28
111;30.0;38.62
112;30.1;27.32
113;30.0;29.42
114;21.5;16.80
115;30.0;18.08
116;30.1;29.42
117;29.6;18.76
118;25.0;17.04
119;26.6;17.86
120;30.1;18.02
121;30.0;19.46
122;27.3;17.86
123;29.1;18.04
124;30.0;29.38
125;22.8;18.26
126;27.8;17.24
127;30.1;18.10
128;30.2;38.64
129;30.1;20.02
130;25.4;17.08
131;30.1;20.22
132;30.0;20.20
133;30.1;41.82
134;30.1;18.10
135;30.1;19.46
136;27.7;26.42
137;23.4;16.92
138;26.6;17.18
139;30.0;19.52
140;26.9;17.16
141;30.0;20.18
142;30.0;29.44
143;27.9;17.24
144;27.2;16.92
145;30.2;29.40
146;26.4;26.36
147;23.2;17.60
148;25.6;17.06
149;30.1;32.60
150;30.1;31.22
151;28.9;26.50
152;30.0;20.18
153;26.3;20.32
154;30.1;38.64
155;30.1;25.72
156;28.0;27.84
157;30.0;29.42
158;30.2;24.08
159;20.8;16.72
160;24.5;17.72
161;30.0;28.70
162;30.1;19.46
163;24.7;17.00
164;30.1;35.56
165;30.1;29.42
166;26.1;17.14
167;30.0;29.36
168;30.1;38.64
169;30.1;18.08
170;22.5;16.84
171;27.5;27.14
172;30.1;19.30
173;27.9;17.22
174;30.1;28.00
175;26.4;17.16
176;30.0;27.28
177;30.1;18.10
178;30.0;27.30
179;30.0;18.78
180;30.1;17.90
181;24.3;16.98
182;30.1;27.32
183;30.0;20.18
184;30.1;18.80
185;23.8;17.64
186;29.1;17.30
187;24.1;18.34
188;27.1;17.22
189;30.1;27.28
190;30.4;19.50
191;26.8;16.90
192;29.8;17.32
193;24.9;17.00
194;30.1;18.78
195;25.5;17.74
196;30.1;20.20
197;27.4;17.20
198;30.1;29.40
199;28.1;17.26
200;30.1;27.34
201;20.0;16.66
202;23.5;16.92
203;30.1;29.42
204;25.8;17.02
205;29.4;17.36
206;30.0;29.38
207;30.1;18.78
208;29.5;17.34
209;29.3;18.74
210;30.1;18.10
211;27.1;23.40
212;30.1;29.42
213;27.9;17.26
214;29.6;17.38
215;30.1;29.42
216;25.4;17.06
217;26.5;17.14
218;30.1;38.62
219;30.1;27.98
220;30.0;20.16
221;28.5;27.18
222;29.1;18.52
223;30.1;29.44
224;30.1;18.80
225;30.1;28.52
226;28.5;17.06
227;30.0;19.48
228;30.1;18.72
229;30.1;29.40
230;30.1;29.42
231;30.2;27.94
232;28.6;16.94
233;30.0;28.62
234;30.1;28.60
235;30.0;29.34
236;30.1;18.80
237;30.1;37.78
238;30.1;28.50
239;30.0;18.08
240;30.0;29.20
241;30.0;29.38
242;27.9;27.84
243;30.0;29.38
244;30.1;18.74
245;30.0;29.40
246;30.0;19.44
247;30.2;17.90
248;30.1;18.74
249;24.6;17.00
250;30.0;29.42
251;29.9;27.28
252;28.7;26.52
253;30.1;29.42
254;30.1;27.30
255;30.1;19.50
256;30.1;18.78
257;30.1;27.08
258;30.0;18.78
259;30.1;25.70
260;30.1;19.98
261;30.1;38.60
262;30.1;16.46
263;30.1;29.42
264;30.0;17.16
265;20.6;17.40
266;25.4;17.50
267;23.3;16.86
268;27.0;17.80
269;30.0;19.48
270;30.1;29.40
271;30.1;28.70
272;30.1;18.10
273;29.0;26.50
274;30.1;18.74
275;30.1;19.30
276;30.0;20.18
277;23.4;16.92
278;30.1;29.42
279;27.5;18.62
280;30.1;18.78
281;28.3;26.94
282;30.1;20.18
283;30.1;38.62
284;30.1;19.22
285;27.8;26.40
286;30.1;19.28
287;30.0;28.66
288;30.1;18.80
289;30.0;27.98
290;25.0;18.44
291;29.3;17.08
292;30.1;19.50
293;30.1;20.22
294;30.1;18.78
295;30.0;18.80
296;21.2;16.76
297;30.2;29.42
298;30.0;27.24
299;30.1;28.46
300;28.0;26.42
301;30.0;27.30
302;29.0;26.50
303;30.1;28.04
304;26.5;15.78
305;30.1;29.40
306;30.1;18.82
307;28.1;16.82
308;30.1;18.78
309;26.7;17.14
310;26.9;17.18
311;30.1;28.72
312;29.7;17.36
313;28.3;26.46
314;30.1;29.40
315;30.1;32.62
316;27.3;17.20
317;25.9;16.90
318;30.1;17.16
319;30.1;37.92
320;30.1;27.98
321;19.6;17.34
322;26.0;17.04
323;30.0;29.42
324;26.6;17.16
325;23.0;16.92
326;30.0;28.68
327;30.0;18.80
328;26.2;17.12
329;28.4;21.16
330;30.1;38.60
331;30.0;29.40
332;30.1;19.88
333;30.0;28.64
334;30.1;18.76
335;30.1;28.68
336;23.8;17.64
