Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
1;79.3;-1.98;1;6;150;3;3;3;1;42.2;5
2;34.2;-5.45;1;4;100;0;0;2;2;29.1;2
3;23.2;-6.45;1;4;100;3;2;0;0;17.3;3
4;43.2;-1.76;1;5;125;3;3;3;2;20.8;3
5;64.6;4.14;1;5;125;9;8;2;6;16.9;2
6;33.7;-4.15;1;4;100;3;2;1;1;13.9;2
7;41.3;-0.75;1;4;100;6;6;2;1;34.9;5
8;41.8;-1.06;1;5;125;5;4;2;2;17.5;6
9;21.3;-6.25;1;4;100;1;1;0;0;11.9;2
10;95.1;10.63;1;6;150;9;9;5;6;36.4;3
11;39.6;-1.67;1;6;130;6;5;1;0;10.5;1
12;33.1;-3.85;1;4;100;2;2;3;1;20.0;4
13;25.7;-4.75;1;4;100;3;2;2;1;19.9;2
14;39.5;-1.95;1;4;100;6;4;2;0;19.9;3
15;24.9;-4.75;1;4;100;4;3;0;0;10.4;2
16;46.8;-0.95;1;4;100;3;3;1;3;42.0;4
17;49.9;1.21;1;8;190;6;6;4;0;12.1;2
18;20.8;-6.75;1;4;100;2;0;1;1;16.0;4
19;30.8;-2.75;1;4;100;5;5;0;2;25.7;4
20;25.7;-4.75;1;4;100;3;2;0;3;15.1;2
21;26.8;-4.45;1;4;100;3;2;0;2;22.6;4
22;45.4;-1.46;1;5;125;2;2;4;1;35.6;2
23;28.8;-3.75;1;4;100;3;3;1;2;21.1;3
24;13.0;-8.05;1;4;100;1;0;1;0;9.1;2
25;47.8;0.35;1;4;100;5;5;4;1;37.0;2
26;30.5;-3.05;1;4;100;4;4;2;1;24.5;3
27;22.4;-5.05;1;4;100;4;3;1;0;15.2;2
28;33.9;-3.66;1;5;125;1;1;3;2;5.8;4
29;33.5;-4.05;1;4;100;2;2;1;0;25.0;2
30;19.8;-6.95;1;4;100;2;1;0;2;16.0;2
31;44.6;-0.26;1;6;150;5;5;3;2;28.2;3
32;79.4;5.92;1;8;190;6;6;5;0;32.9;2
33;30.2;-4.25;1;4;100;2;2;2;0;24.9;2
34;35.6;-1.55;1;4;100;6;5;1;2;30.2;3
35;45.2;-0.45;1;4;100;5;4;3;3;27.5;4
36;52.6;1.34;1;5;125;5;5;3;4;29.1;7
37;22.5;-5.45;1;4;100;2;2;1;0;13.5;3
38;47.8;-0.65;1;4;100;3;3;3;2;35.3;2
39;28.0;-5.05;1;4;100;1;1;2;2;22.3;4
40;20.0;-6.25;1;4;100;1;1;0;0;9.2;2
41;29.6;-4.45;1;4;100;2;2;2;0;24.3;3
42;74.6;3.74;1;5;125;4;3;4;3;20.9;7
43;22.9;-5.95;1;4;100;1;1;0;2;12.9;2
44;27.7;-4.15;1;4;100;4;3;1;1;8.4;2
45;32.6;-2.65;1;7;155;4;4;3;0;17.2;3
46;39.0;-2.25;1;4;100;3;3;1;3;33.9;4
47;24.7;-5.45;1;4;100;1;1;1;0;20.4;3
48;40.6;-0.78;1;8;160;5;5;2;1;11.8;3
49;45.4;-0.45;1;4;100;4;4;2;2;39.7;4
50;46.1;-0.08;1;7;155;4;4;3;1;16.2;3
51;29.8;-3.86;1;5;125;3;2;1;2;13.7;4
52;66.2;4.02;1;7;155;7;6;4;2;9.5;3
53;41.1;-2.95;1;4;100;1;1;1;4;35.7;2
54;33.6;-3.15;1;4;100;3;3;1;0;22.1;2
55;42.4;0.04;1;5;125;5;5;2;5;15.1;2
56;34.5;-1.85;1;4;100;6;5;1;2;11.7;3
57;37.6;-1.46;1;5;125;4;4;2;1;5.4;3
58;35.6;-2.47;1;6;130;4;3;1;1;5.6;2
59;37.5;-3.15;1;4;100;3;3;1;2;29.6;3
60;29.1;-3.55;1;4;100;4;4;2;0;16.4;2
61;68.9;4.80;1;11;240;6;6;7;1;17.5;5
62;22.5;-5.85;1;4;100;2;1;1;0;17.0;3
63;67.1;3.63;1;6;150;5;5;2;3;8.9;2
64;74.8;4.75;1;4;100;5;5;1;5;42.9;4
65;42.1;-2.05;1;5;125;3;3;3;0;23.3;2
66;120.0;25.43;0;6;150;10;9;5;6;10.2;2
67;26.3;-4.15;1;4;100;3;3;0;2;20.8;3
68;24.8;-5.25;1;4;100;2;2;0;1;20.9;2
69;75.6;4.90;1;8;200;6;4;8;1;30.6;2
70;37.7;-1.05;1;6;130;5;5;2;3;23.6;3
71;35.1;-2.95;1;4;100;4;3;1;1;29.6;3
72;33.2;-3.95;1;4;100;3;2;2;1;27.7;3
73;29.5;-3.25;1;4;100;4;4;1;2;22.1;3
74;32.7;-2.85;1;6;130;4;4;3;0;25.0;4
75;28.2;-3.27;1;6;130;4;4;1;1;7.2;4
76;68.0;6.89;1;9;215;10;10;5;2;13.2;3
77;24.0;-4.75;1;4;100;3;3;1;1;17.3;2
78;120.1;22.30;0;0;0;4;4;6;8;-1.0;1
79;66.7;5.64;1;5;125;8;8;2;4;31.5;2
80;46.5;-0.65;1;4;100;4;4;3;1;26.6;5
81;56.2;1.54;1;6;130;7;5;2;1;16.5;2
82;27.6;-4.05;1;4;100;4;3;0;1;8.9;4
83;59.4;3.94;1;6;130;9;8;1;6;11.0;2
84;86.8;8.63;1;6;150;10;9;5;3;33.8;4
85;39.2;-2.55;1;4;100;2;2;0;4;23.7;2
86;70.4;5.34;1;6;130;8;7;2;6;15.3;3
87;35.7;-2.65;1;4;100;5;3;0;2;17.0;2
88;57.5;0.25;1;4;100;3;2;4;3;43.7;5
89;25.3;-4.35;1;4;100;3;3;0;1;14.5;3
90;29.4;-2.86;1;5;125;4;4;1;2;15.1;2
91;73.6;5.85;1;4;100;7;7;2;5;42.1;2
92;96.9;10.80;1;8;200;9;8;5;4;10.2;1
93;53.1;1.02;1;8;160;6;5;2;2;13.9;3
94;45.7;-0.25;1;6;130;5;5;2;1;15.0;4
95;120.1;27.43;0;6;150;15;15;5;7;31.7;3
96;24.1;-5.15;1;4;100;2;2;0;1;14.0;2
97;32.3;-2.15;1;4;100;5;5;1;1;15.9;3
98;28.5;-4.25;1;4;100;3;3;2;1;23.2;3
99;47.6;0.35;1;4;100;5;5;2;2;32.1;1
100;96.1;10.31;1;9;215;8;8;7;4;37.6;3
