Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;11.8;-12.72;1;4;100;1;0;0;0
2;17.4;-3.02;1;4;100;5;3;0;0
3;20.3;0.37;1;6;130;6;4;1;0
4;9.6;-12.48;1;4;100;2;0;0;0
5;22.7;3.21;1;5;125;6;5;1;1
6;15.7;-3.08;1;4;100;5;3;0;0
7;15.0;-6.12;1;4;100;4;2;0;0
8;18.6;-2.60;1;4;100;5;3;1;2
9;30.3;12.46;1;6;150;9;8;3;1
10;10.3;-9.36;1;4;100;2;1;0;0
11;10.0;-12.38;1;4;100;3;0;0;0
12;26.5;6.56;1;4;100;6;6;2;0
13;28.6;7.08;1;4;100;6;6;1;2
14;13.4;-5.71;1;6;130;3;2;1;1
15;17.7;0.22;1;4;100;4;4;1;1
16;14.4;-9.14;1;4;100;4;1;0;0
17;14.9;-6.12;1;4;100;3;2;1;0
18;15.0;-6.10;1;4;100;4;2;0;0
19;11.4;-9.36;1;4;100;2;1;1;0
20;11.5;-9.32;1;4;100;3;1;0;0
21;13.1;-6.24;1;4;100;3;2;0;0
22;15.2;-3.12;1;4;100;4;3;1;0
23;22.9;3.72;1;4;100;7;5;0;2
24;14.8;-3.10;1;4;100;4;3;0;0
25;19.3;0.14;1;4;100;5;4;0;0
26;15.4;-6.06;1;4;100;4;2;0;0
27;14.7;-8.94;1;4;100;2;1;0;1
28;17.4;-3.08;1;4;100;3;3;1;0
29;25.9;2.98;1;6;130;6;5;1;0
30;10.6;-9.38;1;4;100;2;1;0;0
31;30.7;9.66;1;6;130;8;7;1;1
32;25.1;6.90;1;4;100;8;6;0;2
33;14.8;-6.12;1;4;100;3;2;0;0
34;12.2;-6.30;1;4;100;2;2;0;0
35;18.7;-2.35;1;6;130;6;3;1;1
36;18.2;-5.60;1;4;100;4;2;0;2
37;12.7;-12.10;1;4;100;3;0;0;1
38;11.9;-6.32;1;4;100;3;2;0;0
39;13.0;-6.24;1;4;100;5;2;0;0
40;24.4;-0.06;1;6;150;6;4;2;0
41;31.2;9.72;1;6;130;9;7;1;1
42;13.6;-9.02;1;4;100;3;1;0;1
43;12.9;-9.24;1;4;100;1;1;1;0
44;17.6;0.08;1;4;100;5;4;0;0
45;28.3;3.68;1;4;100;6;5;2;0
46;20.8;3.30;1;4;100;6;5;1;0
47;21.1;0.22;1;4;100;5;4;1;0
48;19.7;-2.62;1;4;100;4;3;0;1
49;28.4;6.61;1;5;125;6;6;1;1
50;13.6;-6.22;1;4;100;3;2;1;0
51;10.3;-9.42;1;4;100;2;1;0;0
52;17.3;-2.84;1;4;100;3;3;1;1
53;24.6;0.06;1;6;130;6;4;2;0
54;24.1;3.06;1;6;130;6;5;1;0
55;11.9;-6.28;1;4;100;3;2;0;0
56;16.6;-3.02;1;4;100;4;3;0;0
57;22.5;3.34;1;4;100;6;5;1;0
58;14.2;-5.81;1;6;130;3;2;1;0
59;20.1;-0.05;1;5;125;6;4;1;0
60;28.0;3.75;1;7;160;7;5;2;1
61;19.2;0.18;1;4;100;5;4;0;0
62;17.5;-2.90;1;5;125;6;3;1;0
63;9.5;-9.09;1;6;130;3;1;1;0
64;27.2;3.45;1;5;125;6;5;1;0
65;21.5;3.48;1;4;100;5;5;0;2
66;21.8;0.68;1;4;100;6;4;0;2
67;29.5;3.36;1;6;130;6;5;2;0
68;14.7;-6.24;1;4;100;3;2;1;0
69;15.9;-9.26;1;4;100;3;1;0;0
70;25.1;3.06;1;6;130;6;5;1;0
71;31.3;13.02;1;4;100;8;8;2;1
72;27.0;3.29;1;5;125;6;5;2;0
73;23.1;0.38;1;4;100;6;4;0;0
74;22.4;0.38;1;4;100;6;4;0;0
75;15.2;-5.90;1;4;100;3;2;1;1
76;13.1;-6.16;1;4;100;4;2;0;0
77;18.3;0.10;1;4;100;6;4;2;0
78;17.7;-5.78;1;4;100;4;2;0;1
79;19.9;0.40;1;4;100;5;4;1;1
80;15.0;-9.08;1;4;100;3;1;1;0
81;20.2;2.80;1;6;130;6;5;1;0
82;18.9;-2.66;1;4;100;5;3;0;1
83;9.6;-9.22;1;4;100;2;1;0;1
84;18.3;0.12;1;4;100;5;4;0;0
85;12.9;-6.02;1;4;100;3;2;0;2
86;10.0;-9.38;1;4;100;3;1;0;0
87;14.4;-5.94;1;4;100;3;2;0;1
88;26.7;6.51;1;5;125;9;6;1;1
89;18.8;0.18;1;4;100;5;4;0;0
90;14.8;-9.46;1;6;130;4;1;1;0
91;15.2;-3.10;1;4;100;4;3;0;0
92;18.0;-2.72;1;4;100;6;3;1;1
93;9.7;-9.42;1;4;100;3;1;0;0
94;18.1;0.28;1;4;100;5;4;0;1
95;10.3;-9.38;1;4;100;2;1;0;0
96;25.7;3.92;1;4;100;7;5;0;2
97;27.3;0.22;1;6;130;6;4;2;0
98;22.9;6.46;1;4;100;6;6;1;0
99;21.2;0.48;1;4;100;6;4;0;1
100;13.5;-6.18;1;4;100;3;2;0;0
