Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
1;24.0;3.02;1;4;100;6;5;0;0
2;17.9;-2.66;1;4;100;4;3;0;1
3;16.8;-9.00;1;4;100;4;1;0;1
4;16.2;-3.12;1;4;100;4;3;0;0
5;25.0;3.43;1;5;125;6;5;1;0
6;31.5;4.45;1;6;130;6;5;3;0
7;10.2;-9.36;1;4;100;3;1;0;0
8;15.6;-5.65;1;6;130;4;2;1;0
9;18.6;-5.56;1;4;100;4;2;0;1
10;12.1;-6.20;1;4;100;3;2;0;0
11;12.8;-6.18;1;4;100;3;2;0;0
12;18.0;-2.84;1;4;100;5;3;0;0
13;16.0;-2.80;1;4;100;5;3;0;1
14;25.5;3.22;1;6;130;6;5;1;0
15;17.5;0.30;1;4;100;5;4;0;1
16;20.0;0.42;1;4;100;6;4;0;1
17;19.5;0.22;1;4;100;6;4;1;0
18;13.3;-5.94;1;4;100;3;2;0;1
19;25.4;6.93;1;6;130;6;6;2;0
20;19.6;0.59;1;6;130;6;4;1;0
21;13.9;-6.14;1;4;100;2;2;0;0
22;23.6;0.52;1;4;100;6;4;1;0
23;19.2;-2.78;1;4;100;4;3;0;0
24;8.3;-9.48;1;4;100;3;1;0;0
25;29.1;10.31;1;5;125;8;7;1;3
26;27.4;3.92;1;4;100;6;5;0;0
27;12.9;-6.04;1;4;100;4;2;0;0
28;12.3;-8.90;1;4;100;3;1;0;1
29;13.7;-6.04;1;4;100;3;2;1;0
30;15.3;-6.02;1;4;100;5;2;0;0
31;19.2;-2.56;1;7;155;5;3;2;0
32;9.8;-9.38;1;4;100;2;1;0;1
33;10.9;-6.26;1;4;100;3;2;0;0
34;11.1;-9.10;1;4;100;2;1;0;1
35;11.1;-12.32;1;5;125;3;0;1;0
36;24.2;6.76;1;4;100;7;6;1;1
37;28.0;7.20;1;4;100;8;6;0;2
38;21.0;0.70;1;4;100;6;4;0;2
39;11.8;-6.24;1;4;100;3;2;0;0
40;16.4;-2.98;1;4;100;5;3;0;0
41;20.2;2.93;1;5;125;6;5;1;1
42;16.6;-2.84;1;4;100;4;3;0;0
43;29.1;3.94;1;4;100;6;5;1;0
44;28.4;4.13;1;6;130;6;5;1;0
45;9.2;-9.44;1;4;100;2;1;0;1
46;20.6;0.48;1;4;100;5;4;0;1
47;12.6;-6.20;1;4;100;4;2;1;0
48;23.6;0.86;1;4;100;7;4;0;2
49;13.6;-6.14;1;4;100;3;2;1;0
50;22.4;0.42;1;4;100;6;4;0;0
51;10.2;-9.36;1;4;100;2;1;0;0
52;8.2;-9.48;1;4;100;2;1;0;0
53;11.7;-9.06;1;4;100;3;1;0;1
54;8.5;-12.26;1;4;100;1;0;0;1
55;16.0;-2.78;1;4;100;5;3;1;1
56;23.2;0.64;1;4;100;6;4;0;1
57;23.3;3.19;1;5;125;6;5;2;0
58;12.0;-9.22;1;4;100;3;1;0;0
59;21.0;0.68;1;4;100;6;4;0;2
60;9.3;-9.46;1;4;100;2;1;0;0
61;17.1;0.36;1;4;100;5;4;0;1
62;23.9;3.58;1;4;100;6;5;1;0
63;10.4;-12.34;1;4;100;2;0;0;0
64;15.8;-2.92;1;4;100;4;3;0;0
65;17.7;-2.86;1;4;100;4;3;0;0
66;11.9;-9.26;1;4;100;2;1;0;0
67;21.3;-1.97;1;6;130;5;3;1;2
68;16.7;0.06;1;4;100;5;4;2;0
69;14.7;-3.06;1;4;100;5;3;0;0
70;10.1;-12.44;1;4;100;2;0;0;0
71;15.2;-6.02;1;4;100;3;2;0;0
72;22.7;0.52;1;4;100;6;4;2;0
73;20.4;0.26;1;4;100;6;4;0;0
74;9.8;-9.18;1;4;100;3;1;0;1
75;13.5;-9.18;1;4;100;2;1;0;0
76;11.3;-6.28;1;4;100;3;2;0;0
77;10.5;-9.32;1;4;100;3;1;0;0
78;8.9;-9.42;1;4;100;1;1;1;0
79;23.2;6.66;1;4;100;8;6;1;1
80;17.4;0.30;1;4;100;6;4;0;2
81;16.0;-2.65;1;6;130;4;3;2;0
82;21.4;0.32;1;4;100;5;4;1;0
83;10.8;-9.54;1;4;100;1;1;0;0
84;18.7;0.18;1;4;100;5;4;1;0
85;13.8;-5.94;1;4;100;3;2;0;1
86;18.9;3.22;1;4;100;5;5;0;0
87;14.2;-9.08;1;4;100;4;1;1;0
88;16.8;-6.32;1;6;130;3;2;1;0
89;9.8;-9.38;1;4;100;2;1;0;0
90;17.8;0.34;1;4;100;5;4;0;1
91;10.8;-9.30;1;4;100;2;1;0;0
92;16.1;-2.98;1;4;100;4;3;0;0
93;18.4;0.18;1;4;100;5;4;1;0
94;20.6;3.05;1;5;125;6;5;1;0
95;21.7;3.40;1;4;100;5;5;0;0
96;25.5;3.22;1;6;130;6;5;1;0
97;21.8;3.40;1;4;100;6;5;1;0
98;15.8;-2.98;1;4;100;5;3;0;0
99;9.1;-9.42;1;4;100;3;1;0;0
100;16.2;-5.94;1;4;100;5;2;1;0
