Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
97;31.2;0.05;1;5;100;9;8;1;3;19.0;5;0
98;69.2;9.92;1;8;160;14;13;4;2;29.5;4;1
99;85.3;15.73;1;7;140;20;18;2;4;38.0;4;5
100;74.5;12.29;1;11;220;18;14;5;5;39.2;7;6
101;93.3;17.32;1;8;160;21;18;5;5;23.0;4;5
102;46.1;3.13;1;9;180;9;9;3;2;20.6;5;2
103;69.2;10.44;1;7;130;16;15;1;3;21.3;6;3
104;24.7;-3.15;1;5;100;7;5;1;1;15.8;5;1
105;83.9;14.42;1;8;160;18;16;4;4;32.3;5;4
106;82.7;13.80;1;11;210;20;14;5;5;31.3;5;5
107;93.8;20.24;1;6;120;26;23;6;9;32.2;6;4
108;72.2;8.54;1;7;130;14;10;3;3;27.0;6;4
109;61.2;8.02;1;8;160;14;11;3;4;10.0;6;2
110;64.2;11.15;1;5;100;19;17;0;7;41.2;5;2
111;76.7;11.64;1;7;130;16;14;2;3;36.8;4;6
112;65.3;9.44;1;7;130;18;13;2;5;16.9;2;3
113;63.7;8.64;1;7;130;16;12;2;4;11.5;4;5
114;63.1;10.85;1;5;100;19;17;3;4;30.3;3;1
115;87.9;14.82;1;9;180;17;16;7;5;33.2;5;4
116;105.8;21.32;1;8;160;23;21;3;8;37.5;4;5
117;61.5;9.15;1;5;100;17;15;1;3;44.3;3;2
118;68.6;11.21;1;9;180;17;15;3;3;19.8;4;7
119;111.8;22.89;1;11;220;25;20;6;8;26.6;7;6
120;120.1;37.32;0;8;160;30;26;3;11;33.0;7;4
121;100.1;19.03;1;7;140;22;20;6;7;54.8;3;2
122;62.2;8.75;1;5;100;16;14;2;3;22.5;5;5
123;90.4;16.22;1;10;190;19;16;5;5;13.9;4;8
124;86.1;16.38;1;12;240;21;17;7;5;14.8;5;4
125;55.0;6.13;1;7;140;14;12;2;2;17.5;6;3
126;97.4;18.89;1;12;240;20;18;9;5;16.8;6;3
127;52.1;4.65;1;5;100;11;10;1;3;37.3;5;2
128;72.9;10.92;1;8;160;15;13;2;7;23.1;4;1
129;113.1;26.80;1;10;200;29;27;6;8;36.8;4;2
