Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;23.7;-8.75;1;5;100;0;0;0;1;15.2;3;2
2;46.5;-1.35;1;5;100;5;5;1;2;39.3;5;2
3;37.7;-1.65;1;5;100;7;7;0;1;17.7;3;3
4;37.1;-2.26;1;7;130;4;4;1;3;14.7;2;3
5;39.2;-0.65;1;5;100;7;6;0;3;17.5;2;3
6;53.5;3.64;1;6;120;11;10;4;1;33.3;2;6
7;33.0;-2.25;1;5;100;5;5;1;2;24.5;4;3
8;48.4;0.15;1;7;130;6;5;3;1;33.9;4;5
9;44.1;-0.05;1;5;100;7;6;0;4;35.1;3;3
10;39.4;-0.65;1;5;100;8;5;3;3;31.4;4;3
11;38.0;-1.45;1;5;100;5;5;1;1;31.3;4;3
12;21.2;-5.65;1;5;100;3;2;0;1;14.8;3;1
13;46.3;1.25;1;5;100;9;8;0;2;28.4;2;4
14;39.7;-2.35;1;5;100;4;3;2;1;31.7;4;2
15;47.2;0.64;1;6;120;6;6;3;1;25.4;4;3
16;27.2;-3.66;1;7;130;6;4;2;0;17.4;4;2
17;37.1;-3.15;1;5;100;4;2;1;2;30.8;6;1
18;48.4;2.05;1;5;100;9;8;0;4;16.2;2;5
19;39.5;-0.55;1;5;100;7;7;0;1;13.0;2;1
20;44.3;-0.05;1;5;100;8;7;1;0;6.8;2;4
21;37.9;-0.45;1;5;100;7;7;1;1;28.9;4;2
22;27.4;-3.85;1;5;100;4;4;2;0;21.2;5;1
23;24.9;-4.85;1;5;100;4;3;2;0;16.4;5;1
24;62.3;6.65;1;7;130;14;13;3;2;21.3;2;5
25;47.7;2.54;1;7;130;11;9;1;4;16.8;4;4
26;40.2;-0.65;1;5;100;9;6;3;1;15.8;4;3
27;60.8;4.04;1;7;130;11;10;1;1;7.3;2;5
28;42.0;-0.35;1;5;100;10;7;1;1;14.8;2;4
29;35.5;-2.15;1;5;100;5;5;2;0;16.6;5;1
30;26.9;-3.07;1;7;130;5;5;1;2;13.8;3;2
