Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
97;68.3;7.42;1;9;180;10;9;3;2;20.5;6;5
98;68.2;10.92;1;8;160;15;15;2;3;24.6;4;5
99;85.3;16.72;1;8;160;20;20;4;5;56.7;3;5
100;105.0;17.72;1;9;180;16;15;4;3;23.6;7;11
101;66.8;11.85;1;5;100;20;18;2;4;56.7;4;4
102;74.3;13.22;1;10;190;16;16;5;4;21.8;5;8
103;70.1;11.53;1;8;150;15;15;2;4;25.0;4;6
104;81.0;14.04;1;8;150;17;16;4;3;22.5;6;8
105;85.9;14.13;1;11;210;14;14;6;4;20.8;7;6
106;81.9;18.32;1;8;160;24;22;4;6;12.1;4;5
107;58.8;6.95;1;5;100;13;11;5;3;50.2;5;0
108;69.6;12.73;1;7;140;18;17;2;4;27.5;4;2
109;75.1;15.13;1;8;160;20;19;3;7;20.3;3;4
110;101.9;22.54;1;6;120;25;24;5;8;70.4;6;3
111;82.5;15.74;1;7;130;20;19;3;4;45.2;4;6
112;60.1;6.74;1;6;120;11;11;1;1;43.2;3;1
113;60.8;7.03;1;8;150;13;11;2;2;24.9;6;2
114;42.4;3.15;1;5;100;13;10;0;2;20.1;3;3
115;57.1;7.45;1;5;100;13;13;0;2;41.6;4;2
116;100.1;20.99;1;13;250;22;21;5;5;22.8;3;8
117;102.7;21.61;1;10;190;25;23;3;7;24.2;5;5
118;116.4;30.50;1;11;220;31;31;5;9;16.2;5;5
119;60.9;8.13;1;8;150;14;12;3;3;28.3;4;4
120;120.0;39.07;0;4;80;28;28;5;8;29.1;3;2
121;79.7;13.05;1;5;100;16;16;2;5;70.8;3;2
122;58.8;6.94;1;6;120;12;11;2;2;42.1;5;4
123;80.7;16.22;1;8;160;20;20;6;4;36.5;7;2
124;120.1;34.21;0;10;200;20;19;8;6;39.3;7;4
125;68.6;10.14;1;7;130;14;14;1;2;25.8;5;5
126;114.1;24.45;1;5;100;26;24;3;9;73.9;4;6
127;90.4;19.93;1;8;150;23;22;4;8;39.6;5;6
128;28.7;-1.95;1;5;100;7;5;0;3;16.1;3;2
129;65.4;10.94;1;6;120;17;16;1;4;21.7;4;4
130;88.9;18.54;1;7;130;21;21;3;6;47.9;5;3
131;120.0;41.98;0;12;240;33;32;9;10;45.3;5;9
132;83.0;16.52;1;8;160;19;19;4;6;33.3;6;4
133;55.2;4.03;1;8;160;8;7;4;1;24.2;5;5
134;74.3;10.94;1;7;130;15;15;2;5;28.5;6;4
135;68.7;10.44;1;6;120;16;14;1;3;27.8;3;2
136;65.3;10.95;1;5;100;18;16;0;4;21.6;5;4
137;68.3;10.52;1;8;160;14;14;5;4;20.1;5;3
138;33.3;-0.75;1;5;100;6;6;1;2;22.3;4;1
139;57.4;6.73;1;7;140;11;11;3;1;17.0;4;2
140;44.5;2.05;1;5;100;8;8;0;0;29.8;5;4
141;63.1;8.34;1;6;120;14;13;2;2;26.3;3;3
142;48.7;4.05;1;5;100;11;10;0;1;23.4;3;3
143;65.5;10.04;1;7;130;17;14;1;3;36.7;4;4
144;68.8;9.64;1;6;120;14;13;1;2;17.0;4;2
145;120.0;28.25;0;5;100;14;12;3;2;54.4;7;11
146;52.4;7.03;1;8;150;14;13;2;2;16.1;5;4
147;105.9;24.13;1;7;140;27;25;2;8;28.8;3;3
148;46.6;5.05;1;5;100;13;12;1;3;29.5;3;3
149;105.7;20.42;1;8;160;21;19;2;7;23.4;6;11
150;68.5;13.00;1;11;220;18;16;6;5;24.2;7;3
151;71.6;9.83;1;8;160;14;12;4;5;25.1;6;5
152;76.3;14.43;1;8;160;19;18;3;6;30.3;5;1
153;120.0;43.25;0;5;100;36;36;2;10;18.6;4;3
154;50.4;3.44;1;6;120;9;9;2;1;23.3;6;3
155;99.7;21.61;1;11;210;23;23;4;5;21.7;6;8
156;56.9;8.65;1;5;100;17;15;2;4;44.3;4;3
157;68.2;10.04;1;7;130;14;14;1;2;21.3;5;7
158;100.8;16.31;1;11;210;14;13;4;2;28.7;7;13
159;65.5;10.22;1;8;160;15;14;2;3;19.9;5;2
160;61.6;9.05;1;5;100;14;13;3;5;38.4;4;1
161;39.4;0.65;1;5;100;8;7;2;1;24.5;3;2
162;61.1;8.12;1;8;160;14;12;4;3;27.2;3;5
163;64.8;9.84;1;6;120;14;14;2;4;50.5;4;3
164;62.6;8.35;1;5;100;14;13;0;2;21.3;4;3
165;54.5;5.85;1;7;130;11;11;1;1;40.5;4;1
166;68.0;11.73;1;7;140;17;16;5;3;22.6;4;2
167;120.0;29.31;0;9;180;14;13;3;2;22.4;7;13
168;85.1;15.94;1;7;130;20;18;3;5;56.3;6;4
