Episode;SurvivalTime;TotalReward 
1;20.7;16.68
2;24.1;17.68
3;21.6;17.46
4;24.1;17.90
5;19.4;16.62
6;29.2;17.30
7;25.0;17.04
8;23.2;16.90
9;22.6;17.56
10;22.8;17.10
11;30.0;29.08
12;25.4;17.02
13;25.6;17.04
14;24.4;18.38
15;24.2;17.64
16;21.6;16.74
17;21.1;17.48
18;29.0;17.80
19;22.4;16.80
20;24.7;17.68
21;22.0;17.50
22;29.2;23.52
23;30.1;18.58
24;30.0;17.36
25;24.8;26.20
26;23.9;23.14
27;21.0;16.72
28;25.4;16.84
29;19.3;16.56
30;23.3;16.90
31;25.0;17.02
32;30.1;29.42
33;30.1;27.32
34;30.1;19.46
35;30.1;28.56
36;26.7;16.84
37;27.8;17.14
38;26.4;16.96
39;30.1;19.52
40;28.1;17.24
41;30.1;28.70
42;30.1;18.38
43;30.0;18.04
44;22.7;16.84
45;27.3;17.18
46;28.2;17.26
47;30.1;38.66
48;30.1;28.00
49;30.1;28.02
50;30.1;29.46
51;30.1;37.94
52;29.8;17.18
53;28.4;26.46
54;27.0;17.86
55;30.0;27.28
56;23.0;16.90
57;30.1;29.38
58;30.1;38.64
59;20.5;16.74
60;28.5;17.28
61;30.1;29.44
62;28.5;17.26
63;27.9;17.96
64;24.4;16.98
65;30.2;18.94
66;24.3;17.66
67;27.5;17.18
68;30.1;28.00
69;26.9;20.38
70;30.1;27.96
71;28.2;26.42
72;28.6;17.20
73;30.2;28.04
74;30.0;18.72
75;21.3;17.38
76;30.0;28.70
77;21.0;16.74
78;30.1;38.62
79;30.0;37.24
80;30.0;18.80
81;26.0;16.90
82;28.6;18.00
83;30.1;29.42
84;30.1;38.64
85;20.9;16.76
86;24.8;17.02
87;25.1;17.04
88;20.9;16.70
89;27.9;17.22
90;26.9;26.16
91;30.1;25.02
92;23.1;16.88
93;30.1;29.42
94;30.1;27.98
95;30.0;26.42
96;23.2;17.60
97;25.4;17.04
98;30.0;18.08
99;21.6;18.14
100;21.7;16.80
101;20.9;16.78
102;25.2;17.74
103;23.4;16.92
104;24.8;17.68
105;30.1;27.28
106;23.2;16.68
107;23.8;16.94
108;30.0;29.26
109;30.2;29.46
110;30.0;34.64
111;30.0;38.46
112;30.1;29.18
113;30.0;18.78
114;28.1;26.22
115;29.3;27.28
116;30.0;38.64
117;27.6;26.38
118;30.1;28.74
119;30.2;29.02
120;28.1;16.32
121;30.1;29.42
122;25.6;17.76
123;30.0;27.98
124;20.6;16.70
125;30.0;19.46
126;30.1;19.48
127;30.0;29.40
128;25.5;26.94
129;30.1;29.40
130;30.1;29.38
131;29.1;27.26
132;30.1;38.62
133;30.1;28.70
134;29.8;26.38
135;30.1;29.40
136;30.1;20.02
137;30.1;27.30
138;30.0;28.74
139;28.3;17.28
140;30.1;18.78
141;30.1;38.68
142;30.0;18.60
143;20.9;16.72
144;21.4;17.46
145;30.0;18.78
146;26.7;17.16
147;30.1;38.54
148;26.2;16.20
149;30.0;37.94
150;30.1;18.10
151;21.0;17.22
152;20.5;17.90
153;30.1;26.36
154;29.4;17.86
155;21.2;16.76
156;30.0;26.60
157;30.2;18.80
158;30.1;38.62
159;30.0;38.66
160;28.2;26.26
161;30.1;18.78
162;22.8;16.88
163;30.1;28.00
164;30.0;19.48
165;30.1;41.86
166;28.9;17.12
167;30.1;27.36
168;30.1;37.92
169;30.1;37.94
170;30.0;29.08
171;29.7;17.64
172;30.1;32.62
173;18.8;17.26
174;30.2;37.20
175;30.0;38.62
176;21.0;17.46
177;30.1;28.02
178;30.0;18.04
179;29.7;17.34
180;30.0;29.38
181;30.1;17.86
182;27.1;17.16
183;30.1;27.28
184;30.1;28.72
185;21.0;16.74
186;24.9;17.02
187;21.9;17.50
188;22.6;16.86
189;23.6;17.64
190;29.6;17.38
191;30.2;22.66
192;30.1;29.38
193;30.0;28.68
194;30.1;28.74
195;23.1;16.90
196;30.1;28.74
197;27.4;17.20
198;30.1;28.70
199;30.1;19.48
200;30.0;27.92
201;26.1;17.12
202;30.1;28.00
203;30.1;17.90
204;30.0;18.78
205;30.1;18.62
206;28.4;17.96
207;30.1;28.00
208;30.2;18.82
209;24.2;17.46
210;30.0;18.80
211;20.9;16.74
212;27.9;26.94
213;30.0;18.78
214;27.6;27.10
215;30.0;26.42
216;30.1;28.48
217;30.0;20.20
218;30.1;29.42
219;30.1;38.62
220;30.1;38.64
221;27.5;17.76
222;27.0;26.38
223;27.2;18.04
224;30.1;27.28
225;24.7;17.70
226;25.0;17.02
227;30.0;28.00
228;30.0;37.24
229;28.7;17.18
230;30.2;29.44
231;25.5;17.54
232;28.3;17.26
233;30.1;19.50
234;30.1;17.40
235;24.9;17.72
236;30.1;28.04
237;30.1;18.10
238;26.5;17.14
239;26.1;26.30
240;30.1;18.10
241;30.1;19.50
242;19.4;16.62
243;30.1;18.74
244;28.3;17.28
245;27.7;27.14
246;21.3;17.48
247;30.2;18.76
248;30.1;27.12
249;30.1;27.98
250;30.1;38.62
251;22.0;18.22
252;29.6;27.26
253;30.0;38.64
254;30.0;38.64
255;30.0;29.42
256;21.1;18.16
257;30.1;27.34
258;20.2;17.38
259;20.4;17.40
260;30.1;38.64
261;30.1;28.72
262;29.4;26.54
263;29.9;26.60
264;30.1;28.02
265;28.5;17.28
266;30.1;28.54
267;21.8;16.80
268;29.2;26.34
269;26.3;26.10
270;30.0;38.64
271;25.8;17.60
272;30.1;38.60
273;20.0;16.66
274;28.6;27.22
275;26.8;17.86
276;30.1;38.46
277;30.1;18.38
278;27.8;17.04
279;28.2;17.28
280;27.7;26.42
