Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
1;37.2;-1.35;1;5;100;6;5;1;2;27.1;4;4
2;35.5;-1.57;1;7;130;4;4;3;0;23.0;4;1
3;28.3;-2.35;1;5;100;5;5;0;3;16.7;6;2
4;57.1;3.73;1;8;150;9;7;4;2;18.4;5;5
5;63.4;5.82;1;8;160;11;10;4;3;29.9;4;6
6;28.2;-3.75;1;5;100;4;3;0;2;21.2;4;2
7;30.8;-2.45;1;5;100;5;5;0;1;19.3;3;2
8;44.2;1.84;1;6;120;8;7;1;4;27.6;6;4
9;39.8;-0.75;1;5;100;7;5;0;1;22.0;3;3
10;63.1;8.43;1;8;160;14;12;3;4;25.0;3;6
11;43.7;2.35;1;5;100;8;8;1;5;32.2;3;3
12;31.2;-2.55;1;5;100;4;4;2;1;25.1;5;1
13;31.2;-2.75;1;5;100;4;4;1;0;19.9;4;2
14;38.8;1.24;1;7;130;10;8;2;1;12.8;3;2
15;85.2;14.24;1;7;130;19;16;3;7;27.0;5;5
16;59.2;5.34;1;7;140;11;8;3;2;13.5;3;2
17;37.2;0.15;1;5;100;10;7;0;2;22.1;6;2
18;34.2;-1.07;1;7;130;7;5;2;3;20.7;4;2
19;86.1;14.72;1;8;160;18;16;3;4;28.2;5;7
20;26.8;-3.85;1;5;100;6;3;0;0;18.2;5;3
21;61.9;5.91;1;10;190;8;8;3;2;17.7;4;3
22;60.1;4.34;1;7;130;8;7;3;0;13.9;4;4
23;48.9;3.25;1;5;100;11;9;2;2;37.8;6;3
24;58.0;8.15;1;5;100;18;13;2;6;26.3;3;5
25;87.6;12.41;1;9;180;17;14;6;4;25.0;3;3
26;51.2;4.64;1;6;120;13;11;2;3;14.6;5;5
27;52.9;3.73;1;8;150;9;9;2;2;12.7;5;4
28;89.5;12.24;1;7;140;16;13;5;3;21.8;5;5
29;77.9;11.72;1;8;160;17;16;2;3;19.8;3;5
30;25.6;-4.85;1;5;100;3;2;0;0;16.5;3;1
31;48.8;2.84;1;7;130;10;9;1;2;15.7;6;2
32;67.5;8.22;1;8;160;15;12;2;3;19.5;6;6
33;50.6;2.64;1;6;120;10;8;2;2;19.4;4;5
34;78.7;11.42;1;8;160;17;14;2;5;17.3;5;8
35;42.6;3.15;1;5;100;12;10;1;3;21.3;5;2
36;81.4;12.60;1;11;220;16;13;4;5;15.4;5;6
37;22.1;-2.85;1;5;100;5;5;1;3;15.7;5;1
38;65.2;8.44;1;6;120;14;13;3;2;44.0;4;4
39;62.2;6.64;1;6;120;14;12;2;3;14.6;3;5
40;65.7;8.33;1;9;160;14;13;2;2;19.0;5;3
41;99.7;18.93;1;7;140;23;21;4;5;33.2;5;2
42;23.8;-4.35;1;5;100;6;4;0;0;16.2;5;1
43;55.4;4.65;1;5;100;12;11;0;5;32.7;4;1
44;56.3;4.45;1;5;100;11;9;1;3;29.2;4;3
45;44.2;1.25;1;5;100;8;7;1;3;18.1;4;2
46;23.8;-2.95;1;5;100;6;6;0;1;13.6;4;1
47;31.6;0.25;1;5;100;9;9;0;3;16.0;5;1
48;81.1;10.50;1;10;200;17;13;6;4;21.4;5;4
49;58.3;3.04;1;7;130;9;7;1;2;23.4;6;1
50;52.5;3.64;1;7;130;12;10;1;3;18.7;4;2
51;66.0;5.12;1;8;160;13;10;2;3;16.2;5;3
52;61.7;5.44;1;7;130;14;12;1;3;19.2;4;4
53;36.5;-2.65;1;5;100;5;4;1;2;30.8;4;1
54;52.6;3.62;1;8;160;13;8;2;2;14.3;7;4
55;64.3;5.54;1;7;130;11;9;2;1;20.6;7;4
56;64.6;7.12;1;8;160;15;11;6;3;31.0;6;3
57;24.4;-4.25;1;5;100;6;4;1;1;12.9;4;1
58;68.4;7.14;1;7;130;14;11;2;4;23.1;5;2
59;65.4;6.83;1;7;140;14;10;2;2;22.1;4;4
60;63.0;4.31;1;9;180;8;6;4;1;24.1;5;5
61;57.2;6.44;1;7;130;13;12;3;3;21.6;6;1
62;84.0;11.74;1;7;130;16;13;1;4;23.4;4;5
63;35.2;-2.05;1;5;100;4;4;1;1;27.9;5;2
64;52.8;6.75;1;5;100;16;14;0;5;24.4;4;4
65;56.8;4.74;1;7;130;11;10;3;3;28.6;3;5
66;102.5;17.22;1;8;160;20;18;4;4;31.4;4;6
67;41.6;2.64;1;6;120;12;10;1;3;12.6;3;5
68;46.7;2.51;1;10;190;8;8;4;0;13.7;5;5
69;85.5;12.82;1;8;160;19;14;4;4;30.4;5;3
70;69.1;6.90;1;10;200;11;10;5;3;29.6;6;4
71;82.2;14.23;1;8;150;20;18;3;4;22.5;5;4
72;39.2;-0.35;1;5;100;7;7;1;2;31.4;3;1
73;55.5;4.14;1;7;130;13;12;1;3;19.3;5;2
74;73.3;8.94;1;7;130;17;12;2;3;33.9;4;5
75;84.4;13.72;1;8;160;20;16;2;7;27.4;6;6
76;81.2;9.52;1;8;160;14;11;3;3;29.9;7;6
77;45.7;2.95;1;5;100;11;10;0;2;29.8;4;1
78;46.6;1.74;1;6;120;9;7;3;1;28.4;5;4
79;23.5;-3.35;1;5;100;6;5;1;0;14.2;3;2
80;56.4;3.64;1;7;130;8;8;2;1;16.4;4;3
81;88.6;15.19;1;11;220;19;18;5;5;35.6;6;5
82;25.5;-2.45;1;5;100;6;6;0;2;17.1;6;1
83;113.2;19.21;1;10;190;23;18;3;6;32.9;4;3
84;113.6;19.49;1;11;220;19;16;6;4;30.0;5;9
85;65.7;9.12;1;8;160;17;13;2;3;11.3;4;5
86;82.5;10.45;1;7;130;14;11;2;2;18.1;6;5
87;81.8;13.05;1;5;100;17;16;2;3;48.2;3;5
88;61.1;7.52;1;8;160;14;12;2;4;19.1;4;2
89;55.6;3.75;1;5;100;9;8;0;1;15.6;3;2
90;53.2;3.85;1;5;100;11;9;1;1;22.4;3;3
91;82.2;9.64;1;7;130;12;10;2;2;29.9;5;4
92;89.5;13.92;1;8;160;17;14;2;4;21.2;5;4
93;90.0;13.09;1;13;250;15;11;5;4;21.6;7;8
94;76.3;10.62;1;8;160;13;13;4;3;28.2;5;4
95;62.0;5.35;1;5;100;10;9;2;1;18.2;5;2
96;35.1;1.04;1;7;140;10;9;3;2;10.4;3;2
97;98.3;18.18;1;12;240;20;18;6;4;16.5;5;6
98;81.2;13.71;1;10;200;20;15;5;4;17.5;6;7
99;70.9;7.85;1;5;100;11;11;0;1;32.0;4;2
100;56.8;5.74;1;6;120;16;10;1;3;20.5;6;2
101;26.7;-1.85;1;5;100;6;6;0;2;15.4;4;1
102;61.9;6.22;1;8;160;12;9;2;3;15.6;6;3
103;32.1;-2.65;1;5;100;4;4;1;1;22.0;5;1
104;26.3;-3.55;1;5;100;5;4;0;2;19.3;5;1
105;58.6;6.94;1;7;130;16;11;1;4;17.0;5;2
106;46.7;3.44;1;6;120;12;10;2;2;21.8;4;1
