Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
96;42.4;1.15;1;4;100;8;8;1;0;34.6;4;3
97;29.6;-1.65;1;4;100;6;6;0;1;21.9;3;2
98;55.8;4.23;1;6;150;9;8;2;1;20.6;4;2
99;32.8;-0.95;1;4;100;8;7;0;0;23.2;4;2
100;44.1;1.63;1;6;150;8;8;2;0;13.7;5;1
101;50.8;3.41;1;9;215;8;7;5;1;17.6;6;2
102;72.6;8.42;1;8;185;11;11;3;1;17.4;5;6
103;53.9;4.45;1;4;100;10;9;0;3;25.5;4;2
104;41.0;0.93;1;8;160;7;7;3;0;24.7;4;4
105;39.9;0.85;1;4;100;8;8;2;0;32.8;3;3
106;23.7;-4.45;1;4;100;4;3;1;1;18.6;4;1
107;43.2;1.55;1;4;100;9;8;0;1;12.9;3;4
108;42.6;1.15;1;4;100;8;8;1;0;31.5;4;4
109;46.4;2.44;1;5;125;9;8;1;1;14.5;5;4
110;55.6;5.42;1;7;155;12;10;5;2;7.3;4;6
111;68.0;7.64;1;6;130;14;13;3;2;34.0;2;6
112;41.4;-1.95;1;4;100;6;6;0;1;34.6;3;2
113;69.6;5.44;1;5;125;11;10;2;1;15.5;3;5
114;56.9;3.45;1;6;130;10;10;3;1;24.9;3;4
115;53.9;1.64;1;6;130;9;8;1;1;18.9;4;3
116;47.1;1.54;1;7;155;8;8;2;0;12.5;4;2
117;32.6;-0.95;1;4;100;8;8;1;0;25.1;4;2
118;40.3;-0.57;1;6;130;8;6;2;0;16.1;3;1
119;33.8;-2.65;1;4;100;5;5;2;0;25.0;5;0
120;51.2;1.85;1;4;100;8;8;2;2;22.7;3;4
121;45.6;1.85;1;4;100;9;9;1;1;31.1;3;2
122;51.5;3.95;1;4;100;10;10;1;4;29.0;2;3
123;42.8;2.04;1;6;130;11;10;4;1;20.5;6;4
124;22.3;-3.95;1;4;100;5;5;0;0;14.1;2;2
125;47.4;4.63;1;6;150;12;11;4;2;20.0;3;3
126;73.7;11.81;1;8;190;16;14;5;5;19.6;5;4
127;54.3;3.84;1;6;130;9;9;2;2;41.8;4;3
128;47.7;3.75;1;4;100;11;10;1;2;40.4;4;5
129;54.9;4.82;1;7;160;11;9;2;1;22.6;6;5
130;50.7;5.14;1;6;130;12;11;2;2;24.2;5;7
131;42.9;0.64;1;6;130;8;6;1;0;10.4;4;6
132;80.2;10.04;1;6;130;12;11;1;2;24.5;5;8
133;27.7;-1.45;1;4;100;7;7;0;1;17.4;4;2
134;48.6;2.45;1;4;100;8;8;0;0;28.9;6;5
135;69.5;11.33;1;6;150;17;15;3;4;26.7;4;6
136;71.2;11.82;1;7;155;17;16;2;3;16.2;3;4
137;32.3;-1.65;1;4;100;7;5;0;1;16.3;4;1
138;47.8;4.74;1;7;155;11;11;2;1;12.0;3;3
139;40.0;0.85;1;4;100;7;7;1;1;33.0;4;2
140;27.8;-3.35;1;4;100;6;3;1;1;10.2;4;0
141;40.1;-0.05;1;4;100;8;6;0;1;19.6;3;0
142;30.6;-0.85;1;4;100;7;7;0;1;23.3;4;2
143;53.3;5.42;1;8;190;11;10;3;1;26.1;5;3
144;58.5;3.62;1;7;155;8;6;2;0;27.8;7;4
145;66.4;9.22;1;7;160;14;13;2;2;10.6;3;7
146;39.3;1.85;1;4;100;9;9;0;2;14.7;3;1
147;44.2;1.75;1;4;100;8;8;0;0;28.9;4;2
148;22.0;-4.35;1;4;100;4;3;0;1;16.7;5;1
149;87.0;15.94;1;6;130;20;19;3;4;46.1;5;6
150;62.7;7.45;1;4;100;14;12;0;2;28.8;4;3
151;61.4;8.33;1;7;160;14;13;2;2;9.4;5;3
152;71.3;11.72;1;8;190;16;15;3;3;32.6;6;7
153;49.1;3.14;1;6;130;10;8;1;1;19.9;4;3
154;31.1;-1.65;1;4;100;7;6;0;0;18.1;4;2
155;74.1;11.01;1;8;185;15;14;6;3;21.9;5;6
156;48.0;4.24;1;5;125;11;10;4;4;22.2;4;2
157;28.1;-3.05;1;4;100;6;4;1;1;18.4;2;1
158;52.8;7.31;1;7;175;15;13;5;3;15.5;3;4
