Episode;SurvivalTime;TotalReward 
1;30.1;18.60
2;30.1;19.92
3;30.0;19.58
4;30.1;19.62
5;30.1;19.68
6;30.1;19.66
7;30.3;22.86
8;30.3;25.80
9;30.3;22.78
10;30.1;22.82
11;30.0;19.56
12;30.1;19.66
13;30.2;16.72
14;30.7;19.70
15;30.3;19.64
16;30.0;22.80
17;30.3;22.76
18;30.1;22.92
19;30.1;19.90
20;30.0;18.80
21;30.0;19.64
22;30.5;18.94
23;30.0;19.84
24;30.1;16.50
25;30.1;19.50
26;30.0;19.54
27;30.2;22.70
28;30.1;19.54
29;30.4;19.64
30;30.2;22.82
31;30.1;19.64
32;30.0;19.64
33;30.0;19.64
34;30.0;22.80
35;30.1;19.60
36;30.1;19.54
37;30.4;19.24
38;30.1;19.54
39;30.4;19.66
40;30.8;19.68
41;30.1;18.92
42;30.1;19.84
43;30.1;22.82
44;30.1;22.92
45;30.1;19.80
46;30.1;19.64
47;30.1;19.58
48;30.1;19.68
49;30.2;22.98
50;30.0;20.00
51;30.2;22.76
52;30.2;23.10
53;30.0;20.02
54;30.7;18.34
55;30.4;22.84
56;30.4;22.82
57;30.5;18.14
58;30.2;19.50
59;30.2;19.54
60;31.1;19.60
61;30.0;22.68
62;30.1;16.50
63;30.0;19.50
64;30.1;19.68
65;30.1;22.72
66;30.1;19.64
67;30.0;25.72
68;30.9;22.76
69;30.1;19.56
70;30.1;19.58
71;30.0;19.70
72;30.3;22.76
73;30.1;22.76
74;30.3;19.88
75;30.3;18.88
76;30.2;19.66
77;30.6;22.66
78;30.4;18.52
79;30.1;19.56
80;30.1;22.86
81;30.1;19.54
82;30.1;22.68
83;30.1;19.64
84;30.1;19.56
85;30.0;19.72
86;30.0;19.54
87;30.1;22.74
88;30.1;19.56
89;30.1;22.76
90;30.2;19.56
91;30.0;19.66
92;30.0;19.66
93;30.4;19.60
94;30.1;18.80
95;30.2;19.64
96;30.3;19.58
97;30.5;19.60
98;30.7;19.64
99;30.4;19.64
100;30.2;22.82
101;30.5;19.58
102;30.5;19.58
103;30.5;22.84
104;30.2;18.88
105;30.4;19.54
106;30.1;19.62
107;30.1;19.56
108;30.1;22.78
109;30.1;19.60
110;30.1;19.56
111;30.1;19.54
112;30.1;19.54
113;30.1;18.10
114;30.4;22.88
115;30.0;19.76
116;30.0;19.72
117;30.3;19.64
118;31.0;19.58
119;30.2;19.58
120;30.6;22.78
121;30.0;19.34
122;30.0;19.56
123;30.4;22.94
124;30.1;19.56
125;30.1;19.56
126;30.0;22.78
127;30.4;22.64
128;30.1;19.76
129;30.1;18.78
130;30.1;19.60
131;30.3;19.72
132;30.3;22.62
133;30.3;25.68
134;30.2;22.66
135;31.1;22.64
136;30.4;19.54
137;30.1;19.52
138;30.3;19.58
139;30.8;18.86
140;30.2;22.72
141;30.0;22.74
142;30.1;19.54
143;30.2;19.64
144;30.1;19.60
145;30.1;19.54
146;30.0;19.64
147;30.1;19.60
148;30.1;19.62
149;30.1;22.74
150;30.0;19.66
151;30.3;19.62
152;30.1;19.90
153;30.2;19.80
154;30.4;19.64
155;30.2;18.88
156;30.1;19.56
157;30.0;19.68
158;30.0;22.74
159;30.1;19.60
160;30.1;18.86
161;30.0;19.58
162;30.1;19.64
163;30.0;19.58
164;30.1;19.62
165;30.4;19.52
166;30.2;19.38
167;30.2;19.54
168;30.5;22.72
169;30.1;19.62
170;30.6;19.70
171;30.3;19.74
172;30.4;19.60
173;30.4;19.58
174;30.5;19.50
175;30.0;19.78
176;30.2;19.48
177;30.1;19.66
178;30.1;22.70
179;30.7;22.68
180;30.1;22.74
181;30.1;19.64
182;30.1;19.68
183;30.0;19.60
184;30.0;18.80
185;30.1;19.58
186;30.3;18.84
187;30.2;19.58
188;30.5;22.94
189;30.2;19.54
190;30.1;22.72
191;30.4;19.54
192;30.1;19.52
193;30.4;19.70
194;30.5;19.52
195;30.4;22.72
196;30.8;22.70
197;30.4;19.80
198;30.4;19.62
199;30.1;22.88
200;30.0;20.18
201;30.0;19.52
202;30.1;19.66
203;30.1;22.82
204;30.0;22.74
205;30.2;18.70
206;30.0;22.76
207;30.2;18.18
208;30.0;19.64
209;30.1;19.60
210;30.1;19.62
211;30.7;19.34
212;30.4;19.56
213;30.5;19.56
214;30.1;19.62
215;30.0;19.58
216;30.2;19.60
217;30.1;19.62
218;30.1;19.52
219;30.0;19.62
220;30.1;22.72
221;30.1;19.64
222;30.1;19.62
223;30.1;19.48
224;30.0;19.60
225;30.0;19.58
226;30.2;19.70
227;30.0;19.54
228;30.1;19.60
229;30.2;19.66
230;30.2;19.56
231;30.6;19.60
232;30.8;19.68
233;30.5;19.62
234;30.1;19.60
235;30.6;20.08
236;30.1;19.62
237;30.1;19.52
238;30.1;19.58
239;30.0;19.58
240;30.1;19.72
241;30.1;19.64
242;30.2;19.52
243;30.0;22.66
244;30.1;19.58
245;30.5;22.74
246;30.0;19.76
247;30.1;25.90
248;30.3;22.70
249;30.1;22.74
250;30.2;19.64
251;30.3;19.54
252;30.7;23.14
253;30.3;19.86
254;30.5;22.74
255;30.7;18.84
256;30.4;20.12
257;30.3;19.26
258;30.6;23.06
259;30.1;19.60
260;30.1;19.78
261;30.1;19.60
262;30.1;22.74
263;30.0;19.56
264;30.1;19.60
265;30.3;22.76
266;30.0;19.60
267;30.2;19.56
268;30.2;19.56
269;30.1;19.58
270;30.0;19.56
271;30.1;19.56
272;30.3;22.74
273;30.9;22.56
274;30.3;19.58
275;31.1;23.04
276;30.2;19.60
277;30.4;19.58
278;30.4;19.52
279;30.3;19.58
280;30.7;19.58
281;30.3;19.58
282;30.2;19.58
283;30.2;19.56
284;30.0;19.48
285;30.1;19.64
286;30.1;19.52
287;30.0;19.60
288;30.4;22.70
289;30.1;19.52
290;30.1;19.62
291;30.2;22.80
292;30.4;19.60
293;30.4;22.76
294;30.1;19.68
295;30.1;25.78
296;30.0;19.60
297;30.2;18.88
298;30.1;22.80
299;30.1;19.76
300;30.1;19.60
301;30.0;19.58
302;30.1;18.92
303;30.1;19.62
304;30.0;22.76
305;30.1;19.84
306;30.1;19.16
307;30.2;19.60
308;30.5;19.62
309;30.6;19.58
310;30.0;19.60
311;30.2;22.76
312;30.3;18.16
313;30.1;19.54
314;30.0;22.76
315;30.1;22.82
316;30.0;18.16
317;30.1;19.68
318;30.2;19.58
319;30.0;18.86
320;30.1;19.78
321;30.1;19.54
322;30.4;19.76
323;30.5;19.56
324;30.5;22.74
325;30.2;22.84
326;30.2;22.78
327;30.2;19.74
328;30.0;19.64
329;30.1;22.76
330;30.5;23.30
331;30.1;25.72
332;30.1;22.78
333;30.0;23.10
334;30.0;18.88
335;30.0;19.66
336;30.1;19.64
337;30.1;22.82
338;30.8;18.94
339;30.1;22.70
340;30.4;25.80
341;30.6;22.76
342;30.1;19.40
343;30.2;19.68
344;30.0;16.56
345;30.0;22.76
346;30.2;22.70
347;30.0;22.74
348;30.2;22.74
349;30.7;23.06
350;30.3;22.88
351;30.2;19.52
352;30.0;19.60
353;30.0;22.90
