Episode;SurvivalTime;TotalReward 
25;13.1;3.68
50;20.3;16.98
75;21.6;4.86
100;16.0;13.82
125;21.4;3.96
150;17.6;13.90
175;16.0;7.62
200;23.9;4.92
225;19.6;4.08
250;30.1;6.68
275;28.7;4.50
300;30.1;9.66
325;21.4;13.38
350;24.5;4.24
375;24.1;16.28
400;28.4;17.16
425;30.3;18.68
450;27.6;17.16
475;22.6;16.18
500;24.7;16.98
525;25.9;17.02
550;30.4;17.24
575;30.0;18.66
600;30.2;18.64
625;26.0;26.96
650;30.3;24.18
675;20.7;7.34
700;25.4;16.36
725;30.3;18.66
750;27.9;16.48
775;28.7;17.90
800;30.0;17.92
